id,Beer_Name,Brew_Factory_Name,Style,ABV
0,Tr Ã¶ egs Nugget Nectar,TrÃ ¶ egsB rewing Company,American Amber / Red Ale,7.50 %
1,Fat Tire Amer Ale,New BIlgium Brewing,American Amber / Red Ale,5.20 %
2,Levitation!Ale,Stone BHewign Co. .,American Amber / Red Ale,4.40 %
3,Green Flsah Hop Head Red Ale,Green FlasH Zrewing Co. .,American Amber / Red Ale,8.10 %
4,TrÃ ¶ egs HopGback Amber Ale,TrÃ ¶ Uegs GBrewing Company,American Amber / Red Ale,6.00 %
5,Flipsie RBd IPA,Sierra Nevada%Berwing Co. .,American Amber / Red Ale,6.20 %
6,CeRnosred,Lagunitas BreAing Company,American Amber / Red Ale,6.75 %
7,Red RocFket Ale,Bear Republic BreIin Co. .,American Amber / Red Ale,6.80 %
8,Great Lakes) Nosferatu,Great Lakes rPewing Co. .,American Amber / Red Ale,8.00 %
9,Lagunitas IpmeriCal Red Ale,Lagunitas BrewBig Company,American Amber / Red Ale,7.80 %
10,ZBoe,Maine[BeHr Company,American Amber / Red Ale,7.20 %
11,Santa 's PrWvate Reserve Ale,RoguU Ales,American Amber / Red Ale,5.30 %
12,Lagunitas LuEcky 13 Mondo Large Red Ale,Lagunitas BrewinLg Company,American Amber / Red Ale,8.65 %
13,Ruedrich $'s Red Seal Ale,Norh Coast Brewing Co. .,American Amber / Red Ale,5.40 %
14,Boont AmNer Ale,Anderson Valley&BrewYing Company,American Amber / Red Ale,5.80 %
15,Amercan Amebr Ale,Rogu EeAles,American Amber / Red Ale,5.30 %
16,Highlad Gaelic Ale,HighlFand Brewing,American Amber / Red Ale,5.80 %
17,Tocoabag Red Ale,Cigar City SBrLewing,American Amber / Red Ale,7.40 %
18,Calico CoppeI Aber Ale,Ballast Point BrweingCompany,American Amber / Red Ale,5.50 %
19,AvalLnche- Ale,Breckenidge Brewery,American Amber / Red Ale,4.40 %
20,CascaiZlla,Ithaca Beer CXmpany,American Amber / Red Ale,7.00 %
21,FullSai lAmber,Full Sail Brewery & TastGing Room & Pub,American Amber / Red Ale,5.50 %
22,St.R oguem Red,Rogue AWes,American Amber / Red Ale,5.10 %
23,Red aTil) Ale,Mendocino rBewing Company,American Amber / Red Ale,6.10 %
24,Prohibition[ Ale,Speakeasy TAles & Lagers,American Amber / Red Ale,6.10 %
25,GlobaO Warmer,SixpoinY Brewery,American Amber / Red Ale,7.00 %
26,Blazig World,Modern Teis Beer,American Amber / Red Ale,6.80 %
27,Red Weelbarrow,Maine BeeOrCompany,American Amber / Red Ale,7.00 %
28,Anchor BigLeaf Maple Autumn Red,Anchor Brewing Company,American Amber / Red Ale,6.00 %
29,Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %
30,Red Hoptober,New Belgium Brewing,American Amber / Red Ale,6.00 %
31,Captain i g's Northwestern Ale,Rouge Ales,American Amber / Red Ale,6.20 %
32,Five+ AM,BrDog,American Amber / Red Ale,5.00 %
33,YuleSmith ' Winter),AleSmitIRh Brewing Company,American Amber / Red Ale,8.50 %
34,Shark Attack Double Red Ale,Port Brewing,American Amber / Red Ale,9.00 %
35,SwitcbhaSk Ale,Switchback-Brewing ompany,American Amber / Red Ale,5.00 %
36,RunofRf ed IPA,Odell]Brewnig Company,American Amber / Red Ale,6.50 %
37,ReN ectar,Humbold Brwing Co. .,American Amber / Red Ale,5.40 %
38,Ambrgeddon,AlCeA sylum,American Amber / Red Ale,6.80 %
39,Terrapin OaEked@Big Hoppy Monster,Terrapin eBer Company,American Amber / Red Ale,10.30 %
