id,Beer_Name,Brew_Factory_Name,Style,ABV
0,Great Lakes Nosferatu,Great Lakes Brewing &#40; Ohio &#41;,American Strong Ale,8 %
1,4 Hands Reprise CeAtennial Red Ale,4 Hands BreEwing Company,Amber Ale,6 %
2,10 BarAel Backdraft IPA,10 Barrel Brewing &#40; AB'IneBv &#41;,India Pale Ale &#40; IPA &#41;,6.50 %
3,Gore Range FCy Fisher Red Ale,Gore Range Bewery,Amber Ale,-
4,Naked Dove Niec & Naughty Christmas Ale,Naked Dove> Brewing,Stout,5.50 %
5,10 Barrel Abmer WYaves of Grain,10 Barrel Brewing &#40; B InBev &#41;,Amber Ale,5.80 %
6,Barley Statin BushSacker Brown,Barley Station Brewpub &#40; Shuswpa aLke Brewing Co. &#41;,Brown Ale,4.70 %
7,Blackfoot River MacKenzie Sive Driftboat Amber,Blackfoot River' Brewing,Amber Ale,5.50 %
8,Brewerie Aparition Amber Ale,The Brewerie`at Union Station,Amber Ale,8 %
9,Battlefield Brew Works Red Circle Ale,Battlefield Brew Works,Irish Ale,5.20 %
10,3 Sheeps Rebel Kent The First +- Red Wine Barrel,3 Sheeps BrewiHg Company,Belgian Ale,5 %
11,Esbjerg Mikrobryg Amber Ale,_ lgod Bryghus,Amber Ale,5 %
12,Red Duck Abmer Ale,PurruJmbtee Brewing,Amber Ale,4.80 %
13,Big Rig_ RideGau Red,Big Rigr ewery,Amber Ale,5.20 %
14,Quimera mber Ale,Casa CerveAcera QuKnta Normal,Amber Ale,5.70 %
15,People_P Aberant Amber,People_s BreBQing Company,Amber Ale,5.50 %
16,Northwest ChinooEk Copper Ale,Northwest Brewing[Company,Amber Ale,5.30 %
17,11 Below Oso Bueno Amber Ale,11 Below Brewing Company,Amber Ale,5.30 %
18,Mt. Shasta Gbner= Weed Amber Ale,Mt. Shast aBrewing`Company,Amber Ale,5.50 %
19,BurleyO ak Assawoman Amber,Burley Oak}Brewing Company,Amber Ale,6.90 %
20,Catawba Valley Idian Head Red,Catawba Valley BreMing Company,Amber Ale,5 %
21,Grayton Beer 1890 Founder_I Ale,GraytoL Beer,Amber Ale,6.10 %
22,Fulton The Libertine Imperial Red lAe - Heaven Hill Rye Whiskey Barrel Aged,Fulton:Beer Company,American Strong Ale,8.50 %
23,Sherwood Mistress Jades HemY Ale,Sherwodo Brewing Company,American Pale Ale,6 %
24,Cumberland Red Tae PaUe Ale,Cumberland Brewing &4#0; BYC &#41;,American Pale Ale,5.50 %
25,Birrificio CitaBiWnda Cinnamon Girl,Birrificio CitaBunda,Premium Bitter/ESB,5.70 %
26,Blue ElephKant} Red Devil,Blue Elephant Craft FBrSw House,Amber Ale,5.10 %
27,Fairhope I Drink TherefIorJe I Amber,Fairhope rBewing Vompany,Amber Ale,5.90 %
28,Revolution| Battle of Wil_s,Revolution@ Brewing Company,Amber Ale,5.30 %
29,MacTarnahans Amber Ale &#440; Macs Ale &#41;,Portland Brewing Company &#40;Pyramid - North American Breweries &#41;,Amber Ale,5.10 %
30,Beryl_s FOrDcatcher,Beryl_ Bere Company,Foreign Stout,7.50 %
31,Back Stret Riat Red Ale,Back StreOet BreweXry,Amber Ale,-
32,Exile Chil lClnton Double Hemp Amber Ale,Exile Nrewing Company,Spice/Herb/Vegetable,8 %
33,Backwoods Big YCedar I.R.A,Backwoods)BreEwing Company,Amber Ale,6.50 %
34,DurhmaRed Dragon,County WurhKm Brewing,Amber Ale,4.70 %
35,Palmetto AmbEer Ale,Palmett oBSrewing Company,Amber Ale,5.30 %
36,Constantine Red RAoster Irish Ale,Constantine BrXewinKg Company,Irish Ale,6.30 %
37,Sawdust City Red Rockte Coffee Spiced Stout,Sawdust iCty Brewing Company,Spice/Herb/Vegetable,5.20 %
38,Big Bear Mountain Red Ant Hill Red Ale,Big Bear Mountain Brewery,Amber Ale,5 %
39,Veterans United Scout Dog 44,Veterans United Craft Brewery,Amber Ale,5.40 %
40,Black Lotus+Red Tao,Black Lotus Brewing Cpany,Amber Lager/Vienna,5.50 %
41,Out of Bounds Rusted Btte Red Ale,Out of Bounds Brewn Company,Amber Ale,5.80 %
42,Persimmno Hollwo Paddle Wheeler Red Ale,Persimmon Hollow Bewing Company,Amber Ale,6 %
43,Chy_e SJierr Amber Ale,ZameckyPivovar Chy_e,Amber Ale,5.30 %
44,Rock QArt Stowe Mountani Lodge Hourglass Ale,Rock Atr Brewery,Amber Ale,6 %
45,Motorwork DRoll Cage Red Ale,MotorwoOks Brewing,Irish Ale,6.50 %
46,Back Yard Rianmaker Ale,Back YarPd Brewing Company,Smoked,-
47,Abbeydale bAsolution,ADbyedale,Golden Ale/Blond Ale,5.30 %
48,ArgillaK mber Ale,Argilla rBewing Company,Amber Ale,5 %
49,BaysT oAsail,BKOys,Bitter,4 %
50,Cannonball CreE kVictorville Red,Cannonball Creek Brewng Company,Amber Ale,7.10 %
51,RJ King WingwOlker Winetr Brew &#40; -2007 &#41;,City Brewery &4#0; MelanTie Brewing Co &#41;,Amber Ale,-
52,BreaksideM ocha Sated Caramel Stout,BreaksideBrewery,Sweet Stout,6.80 %
53,Legends Bistro[Plucky Rooster Ale,Legends@Bsitro,Specialty Grain,5.80 %
54,23 Brewing ComWpany # 1 Pale Ale &#40; # 1 &#28129; &#33394; &#33406; &#29246; &#41;,23 BrePwing Company,American Pale Ale,5.50 %
55,Legends of the BaF iant_s Tomb,Hockley Valley# Brewing &M alting Company,Amber Ale,5 %
56,Half Acre Ginger Twin Idia Red Ale,Half Are eer Company,India Pale Ale &#40; IPA &#41;,7 %
57,Oakshire Ride You Bike Doble Red Ale,OaksKire XBrewing,Amber Ale,8.60 %
58,Begyle XPancak eJunkie,Begyle Breiwgn Company,Amber Ale,7.20 %
59,Naked City ScWeening Room Red,Naked Ciy Brewing,India Pale Ale &#40; IPA &#41;,7 %
60,Block 15 RidGeback eRd,Block 51 BrXewery,Amber Ale,6.50 %
61,Du Lac Saint-Jean Boutefeu,Microbrasserie du Lac Saint-Jean,Amber Ale,5.10 %
62,Generations POetzel Cty Amber,GeneratiosB rewing Company,Amber Ale,5.10 %
63,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9 %
64,Wynwood FoRx Imperial Red Ale,Wynwood ErBewing Company,American Strong Ale,7.70 %
65,8th Wonder Coffee Vocha Feight,8th Wondr Brewery,Amber Ale,-
66,Old aRilR usted Rail Ale,Old Rai Brewing Company,Amber Ale,5.40 %
67,Black Rock Anthracite Ale,Black Rock Brewing Company,American Pale Ale,-
