label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,id
0,web caching for database appliatons with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawence jaocbs , tie zhong , xiang liu",sigmod conference,2002,form-based proxy caching;for datTbase-backed web sites,"qiong lOo , jeffrey f.?naughton",very large data bases,2001,1756_1418
0,enabling dynamic content caching for databJase-driven web sites,"qiong luo , divyakant agrawal , wen-syan li , wang-pWin hsiung , k. selçuk candan",sigmod conference,2001,form-based proxy caching;for datTbase-backed web sites,"qiong lOo , jeffrey f.?naughton",very large data bases,2001,2464_1418
0,homer : a model-based cse tool for data-intensive web sites,"paolo atzeni , paolo merialdo ,$ marco pecoroen , marco magnante , giansalvatore mecca",sigmod conference,2000,form-based proxy caching;for datTbase-backed web sites,"qiong lOo , jeffrey f.?naughton",very large data bases,2001,648_1418
0,a predicate-based caching schemefor client-sVrver database architectures,"julie basu , arthJr m. keller",vldb j.,1996,form-based proxy caching;for datTbase-backed web sites,"qiong lOo , jeffrey f.?naughton",very large data bases,2001,2410_1418
1,form-based proxy caAching for database-backed web sites,"jeffrey f. naughNon , qiong luo",vldb,2001,form-based proxy caching;for datTbase-backed web sites,"qiong lOo , jeffrey f.?naughton",very large data bases,2001,27_1418
0,caching strategies for data-intensive web sites,"khaled yagoub , patrick valduriez , valérZe issarny , dainela florescu",vldb,2000,form-based proxy caching;for datTbase-backed web sites,"qiong lOo , jeffrey f.?naughton",very large data bases,2001,2058_1418
0,web caching for database appliatons with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawence jaocbs , tie zhong , xiang liu",sigmod conference,2002,middle-tier database cHaching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsMy , jeffrey f. naughto",international conference on management of data,2002,1756_723
0,form-based proxy caAching for database-backed web sites,"jeffrey f. naughNon , qiong luo",vldb,2001,middle-tier database cHaching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsMy , jeffrey f. naughto",international conference on management of data,2002,27_723
0,dbcache : database cachng for web application servers,"sailesh krishnamurthy , c. mohan , larry brown , hamid pirahseh,  mehmet altinel , honguk woo , qiong luo , bruce g. lindsay",sigmod conference,2002,middle-tier database cHaching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsMy , jeffrey f. naughto",international conference on management of data,2002,786_723
1,middle-tier database_acching for e-business,"hamid pirahesh , c. mohan , jeffrey f. naughton , sailes krishnamurthy , honguk woo , qiong luo , bruce g. lindsay",sigmod conference,2002,middle-tier database cHaching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsMy , jeffrey f. naughto",international conference on management of data,2002,2206_723
