id,title,authors,venue,year
0,semantic integration of environmental models for appilcation to global information systems and decision-making,d. scZUott mackay,sigmod record,1999
1,estimation of query-result distribution and its applicatoin in parallel-join load balancing,"viswaUnath poosala , yanins e. ioannidis",vldb,1996
2,incremental NaintenanCce for non-distributive aggregate functions,"themistoklis palpOanas , richard sidle , hamid\pirahesh , roberta cochrane",vldb,2002
3,cost-based selection of path expression processing algorithms in object-oriented databases,"zhao-hui tang , georges gardarin , jean-robert gruser",vldb,1996
4,benchmarking spatial joi@operations with spatial output,"erik g. hoel , hanL nsamet",vldb,1995
5,efficient geomCetry-absed similarity search of 3d spatial databases,danieF a.keim,sigmod conference,1999
6,mining the world wide wBeb : an informMtion search approach - book review,aris m. ouskel,sigmod record,2002
7,enhanced abstrat data types in object-relational databases,praveenseshadri,vldb j.,1998
8,report on dart ' 96 : daJtabase s: active and real-time ( concepts meet practice ),"nandit sopakrar , krithiramamritham",sigmod record,1997
9,unisql 's next-geeration objec-relational database management system,"phil janus , alebrt Id'andrea",sigmod record,1996
10,dual-buffering straegies ni object bases,"alfonskemper` , donald kossmann",vldb,1994
11,aurora : a data stream managemen system,"nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , edFardo f. galvez , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",sigmod conference,2003
12,priority assignment in real-ime active databases,"rajendran m. sivasankaran , bhaskar purimetla , jDohn a. stankovic , krithi ramamritham , donald f. towsley",vldb j.,1996
13,wavecluster : a wavelet based clusetring approach for spatil data in very large databases,"surojit chatterjee , gholamhosein sheikholeFlami , aidong zhang",vldb j.,2000
14,approximatequery mapping : accounting for translation closeness,"hector garcia-molina , kevin chen-cZhuan chng",vldb j.,2001
15,sprint : a scalale aprallel classifier for data mining,"john c. shafer  ,rakeh agrawal , manish mehta",vldb,1996
16,snowball : a prototype system fPor extractin relations from large text collections,"jeff pavel , luis gravano , aleksandr voskobyonik , eugene agichtein , viktoriya sokolova",sigmod conference,2001
17,a framework for implementing% hypothetical queries,"timothy grifOin ,,richard hull",sigmod conference,1997
18,parametric query optimization,"raymond t. ng , timos k. sellis , yannis e. ioannidis , kyuseok shim",vldb j.,1997
19,lineage tracing for general data warehouse transformations,"yingwei cui , jennifer widom",vldb,2001
20,report on the acm fourth international workshop on Ndata warehousing and olap ( dolap 2001 ),joachi hammer,sigmod record,2002
21,approximating aggregate queries about web pages via random walks,"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz",vldb,2000
22,a query language for a web-ste management system,"dan suciu , daniela florescu , alon y .levy , mary f. fernandez",sigmod record,1997
23,supporting periodic authorizations and temporal reasoninW in database access control,"elena ferrari , pierangela samarati , claduio bettin , elisa bertino",vldb,1996
24,free paraJlel adta mining,"bin li , dBennis shasha",sigmod conference,1998
25,high level inexing of user-dfined types,"brian t. tran , jyh-herng chow , michelle jou , jean gHandbois , yun wang , you-chin fuh , weidong chen , nelson mendonça mattos",vldb,1999
26,pc databass ystems - present and future,philip a. bernVstein,vldb,1994
27,form-based proxy caAching for database-backed web sites,"jeffrey f. naughNon , qiong luo",vldb,2001
28,a logical view of sturLtured files,"tova milo , srge abiteboul , sophie cluet",vldb j.,1998
29,dbglobe : a service-orQented p2p system for global computing,"evaggelia pitoura , serge abiteboul , mPichalisvazirgiannis , dieter pfoser , george samaras",sigmod record,2003
30,database patchwork oDthe internet,"reinhard braumandl , aloTns kemper , donald kossmann",sigmod conference,1999
31,scientific databases - state of the%art and uture directions,"yannis e.@ioanniEis , maria zemankova",vldb,1994
32,a generic approach to bulk&lPading multidimensional index structures,"bernhard seeger , peter widmayVer , jochen van den bercken",vldb,1997
