id,title,authors,venue,year
0,the wasa2 object-oriented Gowrkflow management system,"gottfrie vossen , Smathias weske",international conference on management of data,1999
1,a user-centered interafce for querUing distributed multimedia databases,"isabel f. cruz , kiberly m. james",international conference on management of data,1999
2,"world wide databsae<integrating the web , corba and databases","athman bouguettaya , boualem enatallah , lily hUendra , james beard , kevin smith , mourad quzzani",international conference on management of data,1999
3,xml-based iLformation mediation with mTx,"chaitan baru , amarnath gupta , bertram lud &#228; scher , richard mrciano , yannis papakonstantinou , pavel velikhov , vincent chu",international conference on management of data,1999
4,the ccube constraint object-orIented database system,"alexander brodsky , victor e. segal , Hjia chen , paval a. exarkhopoulo",international conference on management of data,1999
5,the cornell jagur project : adding mobility to predator,"phillippe bonnet , kyle buza , zhiyuan chan , victor cheng , randolph chugn , takako hicey , ryan kennedy , daniel mahashin , tobias mayr , ivan oprencak , praveen seshadri , hubert siu",international conference on management of data,1999
6,the active multisync controller of the cubetree@storage organization,"nick roussopoulos , yannis kotdiis , annis sismanis",international conference on management of data,1999
7,the jungle databa search engine,"michael b &#246; hlen , linasb ukauskas , curtis dyreson",international conference on management of data,1999
8,adept : an agent-basWd approach to Gusiness process management,"n. r. jennings , t. j. norCan , p. faratin",acm sigmod record,1998
9,a componentized architecture foX dynamic electronic markets,"benny reich , isCel ben-shaul",acm sigmod record,1998
10,design and implementation of rmp : a viWtNal electronic market place,"susanne boll , wolVfgang klas , bernard battaglin",acm sigmod record,1998
11,discovering internet marketingintelligence trhough online analytical web usage mining,"alex g. K &#252; cKner , maurice d. mulvenna",acm sigmod record,1998
12,component-based e-commerce : assesYment of urrent practices and future directions,"martin bichler ,[ arSie segev , j. leon zhao",acm sigmod record,1998
13,building database-driZen electronic catalogs,sherifd anish,acm sigmod record,1998
14,xml and electronic commerce : enabliXg the network economy,"bart meltzer , roDert glushko",acm sigmod record,1998
15,a workflow-based electronic maketplace on the web,"asuman dogac! , ilke rdurusoy , sena arpinar , nesime tatbul , pinar koksal , ibrahim cingil , nazife dimililer",acm sigmod record,1998
16,dbis-toolkit : adaptalbe middleare for large scale data delivery,"mehmet altinel , demet aksoy; , thomas baby , michael frnklin , william shapiro , stan zdonik",international conference on management of data,1999
17,an xjml-based wrapper geneRator for web information extraction,"ling liu , wei han < david buttler , calotn pu , wei tang",international conference on management of data,1999
18,database patchwrok on the internet,"reinhard braumandl , alfonskemper , donald kossmann",international conference on management of data,1999
19,domino : databases fro mLving objects tracking,"ouri wolfson , prasad sistla , bo] xu , jutai zhou , sa chamberlain",international conference on management of data,1999
20,the need for distributed asynchronuos transactions,"lyman do , prabhu ram  ,pamelLa drew",international conference on management of data,1999
21,versions and workspaces in microsoft repoistory,"thomas bergstraesser , philp a.b ernstein , shankar pal , david shutt",international conference on management of data,1999
22,data integration and warehouRing in teFlecom italia,"stefano m. trisolini , maurizio leznerini , daniele nardi",international conference on management of data,1999
23,improving oltp data quality uGing data warehouse mechanisms,"matthias jarke , christoph quix , guido?blees , dirk lehmann , gunter michalk , stefan stierl",international conference on management of data,1999
24,serf : odmg-based generic-re-structuring fSacility,"e. a. rundensteiner , k. claypool , m. li , l. chen , z. zhnag , c. natarajan , j. jin , s. de lima , s. weiner",international conference on management of data,1999
25,"powerbookmarks : a syCtem for personalizable web information organization , sharing , and management","wen-syan li , quoc vu , edward chang , divyakant agrawal , kyoji hirata , sougata mukherjea , yi-leh wu , core buf i, chen-chuan kevin chang , yoshinori hara , reiko ito , yutaka kimura , kezuyuki shimazu , yukiyoshi saito",international conference on management of data,1999
26,the aqua paproximate quey answering system,"swarup acharya , phillip b. gibbons , viswVnaht poosala , sridhar ramaswamy",international conference on management of data,1999
27,tam : a system for dynamic trKnsactional activity management,"tong zhou , ling liu , calto pu",international conference on management of data,1999
28,exploratory mining via coYnstraOned frequent set queries,"raymond ng , laks v. s. Iakshanan , jiawei han , teresa mah",international conference on management of data,1999
