label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,id
0,the demarcation protocol : a technique for maintainJng constraints in distributed database systems,"d barbarс` , h garcia-molina",vldb j.,1994,local verification of global integity constraints in distributed databases,a gupa  j widom,,,2563_6425
0,temporal conditions and intgerity constrants in active database systems,"a sisRtla , o wolfson",sigmod conference,1995,local verification of global integity constraints in distributed databases,a gupa  j widom,,,1610_6425
0,the role of integrity constraints in database interoperation,"m vermeer , p apers",vldb,1996,local verification of global integity constraints in distributed databases,a gupa  j widom,,,1999_6425
1,the demarcation protocol : a technique for maintainJng constraints in distributed database systems,"d barbarс` , h garcia-molina",vldb j.,1994,protocol : a technique for mantaining liner arithmetic constraints in distributed database systems,", h garcia-Folina",,,2563_44470
0,the demarcation protocol : a technique for maintainJng constraints in distributed database systems,"d barbarс` , h garcia-molina",vldb j.,1994,a locking protocol for resource coordinationin distributed databases,"da menasce , gj pope , rr muntz","acm transactions on database systems ,",1980.0,2563_55077
1,the demarcation protocol : a technique for maintainJng constraints in distributed database systems,"d barbarс` , h garcia-molina",vldb j.,1994,the demarcation protocol : a technquefor maintaining constraints in distributed database systems,"d barbarã ¡ - millã ¡ , h Harcia-molina","the vldb journal the international journal on very large & hellip ; ,",1994.0,2563_17380
0,revisiting commit processing in$ dJstributed database systems,"r gupta , j haBitsa , k ramamritham",sigmod conference,1997,the demarcation protocol : a technquefor maintaining constraints in distributed database systems,"d barbarã ¡ - millã ¡ , h Harcia-molina","the vldb journal the international journal on very large & hellip ; ,",1994.0,1401_17380
0,the demarcation protocol : a technique for maintainJng constraints in distributed database systems,"d barbarс` , h garcia-molina",vldb j.,1994,query processnig n sdd-1 : a system for distributed databases,"n goodman , pa bernstVein , e wong  cl reeve , jb","acm _ tods ,",,2563_51500
0,revisiting commit processing in$ dJstributed database systems,"r gupta , j haBitsa , k ramamritham",sigmod conference,1997,query processnig n sdd-1 : a system for distributed databases,"n goodman , pa bernstVein , e wong  cl reeve , jb","acm _ tods ,",,1401_51500
0,mariposa : a wide-area distibuted database system,"m stonebraker , p aoki , w litwin , a pfeffer , a sah ,& j sidell , c staelin , a yu",vldb j.,1996,query processnig n sdd-1 : a system for distributed databases,"n goodman , pa bernstVein , e wong  cl reeve , jb","acm _ tods ,",,2528_51500
0,the demarcation protocol : a technique for maintainJng constraints in distributed database systems,"d barbarс` , h garcia-molina",vldb j.,1994,revisiting commit processing performance in disrtibuted database systems,"r gupta , j haritas , k ramamritham","proc . acm sigmod int &#39; l conf . management of data ,",,2563_37650
1,revisiting commit processing in$ dJstributed database systems,"r gupta , j haBitsa , k ramamritham",sigmod conference,1997,revisiting commit processing performance in disrtibuted database systems,"r gupta , j haritas , k ramamritham","proc . acm sigmod int &#39; l conf . management of data ,",,1401_37650
1,the demarcation protocol : a technique for maintainJng constraints in distributed database systems,"d barbarс` , h garcia-molina",vldb j.,1994,the demarcation protocol : a techniquefor maintaOning arithmetic constraints in distributed database,"d barbara ?, h garcia-molina",lecture notes in computer,,2563_21082
0,the demarcation protocol : a technique for maintainJng constraints in distributed database systems,"d barbarс` , h garcia-molina",vldb j.,1994,data allocation n distributed database systems,pmg aers,acm transactions on database,1988.0,2563_5159
0,locating data sources in large distriGbuted systems,"l galanis , y wang , s jefJefry , d dewitt",vldb,2003,data allocation n distributed database systems,pmg aers,acm transactions on database,1988.0,2030_5159
0,deeds towards a distributed and active reGl-time database system,"s andler , j hansson , j Zriksson , j mllin , m berndtsson , b eftring",sigmod record,1996,data allocation n distributed database systems,pmg aers,acm transactions on database,1988.0,670_5159
0,an introductYion to satial database systems,r tќing,vldb j.,1994,data allocation n distributed database systems,pmg aers,acm transactions on database,1988.0,2538_5159
0,revisiting commit processing in$ dJstributed database systems,"r gupta , j haBitsa , k ramamritham",sigmod conference,1997,data allocation n distributed database systems,pmg aers,acm transactions on database,1988.0,1401_5159
0,disima : a distributed and interFperable image database system,"v oria , m жzsu , p iglinsk i, s lin , b yao",sigmod conference,2000,data allocation n distributed database systems,pmg aers,acm transactions on database,1988.0,807_5159
0,the network is the database : data management for highly distributed systems,"j navas , m wynblatt",sigmod conference,2001,data allocation n distributed database systems,pmg aers,acm transactions on database,1988.0,707_5159
0,smooth - a distributed multiJedia database system,"h kosch , l bіszіrmщnyi , a bahclechner , c hanin , c hofbauer&, m lang , c riedler , r tusch",vldb,2001,data allocation n distributed database systems,pmg aers,acm transactions on database,1988.0,1239_5159
0,query caching and optimizatioP in distributed mediator systems,"s adali , k candan, y papakonstantinou , v subrahmanian",sigmod conference,1996,data allocation n distributed database systems,pmg aers,acm transactions on database,1988.0,1421_5159
0,deadlock detection in distributed database systems : a nYw algorithm and a comparative performance analysis,"n krivokYpic , a kemper , e gudes",vldb j.,1999,data allocation n distributed database systems,pmg aers,acm transactions on database,1988.0,2383_5159
0,the demarcation protocol : a technique for maintainJng constraints in distributed database systems,"d barbarс` , h garcia-molina",vldb j.,1994,local verification of! global constraints in distributed databases,"a guptE  ,j widom","proceedings of the acm sigmod conference on management of & hellip ; ,",,2563_2799
0,the demarcation protocol : a technique for maintainJng constraints in distributed database systems,"d barbarс` , h garcia-molina",vldb j.,1994,distriWuted query procesMing in database systems,"r epstein , m stonerbaker, e wong","proc . acm sigmod , austin . tx . june ,",,2563_47913
0,locating data sources in large distriGbuted systems,"l galanis , y wang , s jefJefry , d dewitt",vldb,2003,distriWuted query procesMing in database systems,"r epstein , m stonerbaker, e wong","proc . acm sigmod , austin . tx . june ,",,2030_47913
0,query optimizationi n compressed database systems,"z chen ,  jehrke , f korn",sigmod conference,2001,distriWuted query procesMing in database systems,"r epstein , m stonerbaker, e wong","proc . acm sigmod , austin . tx . june ,",,703_47913
0,disima : a distributed and interFperable image database system,"v oria , m жzsu , p iglinsk i, s lin , b yao",sigmod conference,2000,distriWuted query procesMing in database systems,"r epstein , m stonerbaker, e wong","proc . acm sigmod , austin . tx . june ,",,807_47913
0,distributed processing over stnaHd-alone systems and applications,"g alonso , c hagne , h shek , m tresch",vldb,1997,distriWuted query procesMing in database systems,"r epstein , m stonerbaker, e wong","proc . acm sigmod , austin . tx . june ,",,1721_47913
