id,title,authors,venue,year
0,towards a cooperative transactino model - the cooerative activity model,"m rusinkiewicz ,~ w klas , t tesch , j wфsch , p muth",vldb,1995
1,sql/xml i smaking good progress,"a eisneberg , j+melton",sigmod record,2002
2,using formal methods to rGson about semantics-based decompositions of transactions,"p ammann , sWajodia , i ray",vldb,1995
3,edito r' snotes,l Cilu,sigmod record,2002
4,report on the acm fourth international workshop on>data warehousing and olap ( dolap 2001 ),,,2002
5,schema and database evolution i nthe o2 object database system,"f ferrandina , t meyer , r zicar , g ferran , j madec",vldb,1995
6,procedures i obect-oriented query languages,"k subieta , y kaXbayashi], j leszczylowski",vldb,1995
7,phoenix project :fault-tolerant aOplications,"r barga ., d lomet",sigmod record,2002
8,mining the world wide web : an information search approach - book review,,,2002
9,l/mrp : a buffer managemenQ strategy for interactBve continuous data flows in a multimedia dbms,"f moser , P kriss , w klas",vldb,1995
10,report on the nsf workshop on building an infrastructure for mobile and wireless systems,,,2002
11,retrieval of coLmposite multimedia objects,"s chaudhuri , s hgandeharizadIeh , c shahabi",vldb,1995
12,mpeg-7 and mulWtimedia database systems,h osch,sigmod record,2002
13,the fittest survives : an adaptive approach to uqery optimization,"h lu , k tan  ,s dao",vldb,1995
14,reminiNcences on nfluential papers,,,2002
15,type classification of{ semi-structured documents,"m trsch , n palmeSr , a luniewski",vldb,1995
16,data mining : practical machine learning tMols and techniques - book rJview,j geller,sigmod record,2002
17,managing intra-operator parWallelism in parallel dataase systems,"m mehta + d dewitt",vldb,1995
18,advances in databases nd inKormation systems ( adbis ),"a caplinskas j  eder , o vasilecas",sigmod record,2002
19,mining generaiMzed association rules,"r srikan t,\r agrawal",vldb,1995
20,sampling-based estimation of the number of distnct vlaues of an attribute,"p haas , j naughtJn , s sehadri , l stokes",vldb,1995
21,book erviAw column,k aebrer,sigmod record,2002
22,processing object-oriented queries with invertible late bounOd functions,"s floidn , t risch",vldb,1995
23,databases and transaction processing : an applicationoriented approach - book review,a kmper,sigmod record,2002
24,"the clustra telecom database : high availability , high throughput , and real-time response","s hvasshovd , и torbjјrnsen , s bratsberg , p holager",vldb,1995
