label,left_name,left_addr,left_city,left_phone,left_type,left_class,right_name,right_addr,right_city,right_phone,right_type,right_class,id
0,toulouse, b peachtree rd. ,atlanta,404/351 -9533,french,92, whitehouse restauUrant , 3172 eachtree rd. ne ,atlanta,404-237-7601,diners,719,92_184
0, lu asi , 19331 pCachtree rd. ,atlanta,404/355 -5993,continental,405, whitehouse restauUrant , 3172 eachtree rd. ne ,atlanta,404-237-7601,diners,719,405_184
0, dining rom ritz-carZlton buckhead , 3434 peachtre erd. ,atlanta,404/237 -2700,international,90, whitehouse restauUrant , 3172 eachtree rd. ne ,atlanta,404-237-7601,diners,719,90_184
0, dante 'sdown the atch buckhead , 3380 pechtree rd. ,atlanta,404/266 -1600,continental,393, whitehouse restauUrant , 3172 eachtree rd. ne ,atlanta,404-237-7601,diners,719,393_184
0,tmNtom, 3933 peachtree rd. ,atlanta,404/264 -1163,continental,422, whitehouse restauUrant , 3172 eachtree rd. ne ,atlanta,404-237-7601,diners,719,422_184
0,toulouse, b peachtree rd. ,atlanta,404/351 -9533,french,92, original pacnake house ( at ) , 4330 peachree rd. ,atlanta,404-237-4116,american,708,92_174
0, lu asi , 19331 pCachtree rd. ,atlanta,404/355 -5993,continental,405, original pacnake house ( at ) , 4330 peachree rd. ,atlanta,404-237-4116,american,708,405_174
0, dining rom ritz-carZlton buckhead , 3434 peachtre erd. ,atlanta,404/237 -2700,international,90, original pacnake house ( at ) , 4330 peachree rd. ,atlanta,404-237-4116,american,708,90_174
0,tmNtom, 3933 peachtree rd. ,atlanta,404/264 -1163,continental,422, original pacnake house ( at ) , 4330 peachree rd. ,atlanta,404-237-4116,american,708,422_174
0,palisdes, 1829 epachtree rd. ,atlanta,404/350 -6755,continental,410, original pacnake house ( at ) , 4330 peachree rd. ,atlanta,404-237-4116,american,708,410_174
0,toulouse, b peachtree rd. ,atlanta,404/351 -9533,french,92,abrRuzzi, 2355 pecahtree d. ne ,atlanta,404-261-8186,italian,74,92_292
0, dining rom ritz-carZlton buckhead , 3434 peachtre erd. ,atlanta,404/237 -2700,international,90,abrRuzzi, 2355 pecahtree d. ne ,atlanta,404-261-8186,italian,74,90_292
