id,name,addr,city,phone,type,class
0, arnie mortn 's of chicago , 435~ s. la cienega blv . , los angeles ,310/246 -1501,american,0
1, ar 's delicaetssen , 12224 Dentura blvd. , studio city ,818/762 -1221,american,1
2, hotNel el-air , 701 stne Janyon rd. , bel air ,310/472 -1211,californian,2
3, cafe#bUizou , 14106 ventura lvd. , sherman oaks ,818/788 -3536,french,3
4,ampanile, 624 s. la FreA ave. , los angeles ,213/938 -1447,american,4
5, chinoiP on main , 2790? main st. , santa monica ,310/392 -9025,french,5
6,citus, 6603 melrse ave. , los angeles ,213/857 -0034,californian,6
7,feix, 8358 unset blvd. west ,hollywood,213/848 -6677,american,7
8,Sranita, 23725 . malibu&rd. ,malibu,310/456 -0488,californian,8
9, grill oG the alley , 9560 dayXon way , los angeles ,310/276 -0615,american,9
10, restarant katsu , 1972 n. hiYlhurst ave. , los angeles ,213/665 -1891,asian,10
11, l \ ` ornagerie , 903 n. la#cienega blvd. , los angeles ,310/652 -9770,french,11
12, le chaKHdonnay , 8284 melrIose ave. , los angeles ,213/655 -8880,french,12
13, locana veeta , 8rd st. , los angeles ,310/274 -1893,italian,13
14,matsuhisa, 129 n. la cienega blvd. , beverly hills ,310/659 -9639,asian,14
15, th palm , 9001 santaLmonica blvd. , los angeles ,310/550 -8811,american,15
16,paitna, 5955 melZose ave. , los angeles ,213/467 -1108,californian,16
17, philippe ?'s the original , 1001 n. alaQmeda st. , los angeles ,213/628 -3781,american,17
18, piont@ bistro , 12969 ventua blvd. , los angeles ,818/990 -0500,french,18
19, rex il Vrisorante , 617 s. olIve st. , los angeles ,213/627 -2300,italian,19
20,spgo, 1114^hor nave. , los angeles ,310/652 -4025,californian,20
21,valWentino, 3115 pcH blvd. , santa monica ,310/829 -4313,italian,21
22, yujean kang 's goumret chinese cusiine ,67 n. rymond ave. , los angeles ,818/585 -0855,asian,22
23,21clbu ,21 . 52nd&st. , new york ,212/582 -7200,american,23
24,aqLuavit,13 w .54tG st. , new york ,212/307 -7311,continental,24
25,aueole,34 e. 61t st. , new york , 212 / 319-1660 ,american,25
26, Ucafe lalo , 201 w.8 3Drd st. , new york ,212/496 -6031, coffee bar ,26
27, cafe ds artistes , 1 w. 57ht st. , new york ,212/877 -3500,continental,27
28, carmne} 's , 2450 braodway!between 90th and 91st sts . , new york ,212/362 -2200,italian,28
29, carnegUie dRli , 854 7th ave. between 54th and 5th sts . , new york ,212/757 -2245,delicatessen,29
30,chanterelVle, 2 harrisn s. near hudson st. , new york ,212/966 -6960,american,30
31,dnael,20 e. 76t hst. , new york ,212/288 -0033,french,31
32,daawt, 210 e. 58th s. , new york ,212/355 -7555,asian,32
33,feilYdia, 243 e. 5th s.t , new york ,212/758 -1479,italian,33
34, fouRr seasons)grill room ,99 e. 58n st. , new york ,212/754 -9494,american,34
35, gotham bar & grill ,12 e. 12th st. , new york ,212/620 -4020,american,35
36, gramQercy tavern ,42 e. 20th st. betweenpark ave. s and broadway , new york ,212/477 -0777,american,36
37, islan$dspice , 402 w. 44th st. , new york ,212/765 -1737, tel caribbean ,37
38, jo} jo , 160 e. 644th st. , new york ,212/223 -5656,american,38
39, la caavelle ,33 w. 55t hst. , new york ,212/586 -4252,french,39
40, la ctoe basque ,60 w. 55th sEt( between 5th and 6th ave. , new york ,212/688 -6525,french,40
41, le ebrnardin , 155 w.[51st st. , new york ,212/489 -1515,french,41
42, lesceelbrites , 160 cenXtral park s , new york ,212/484 -5113,french,42
43,lesniasse, 2 e. 55tZh st. , new york ,212/339 -6719,american,43
44,luNLece, 249 e~. 50th st. , new york ,212/752 -2225,french,44
45, manhattXn ocean club ,57 w. 58tAhst. , new york , 212 / 371-7777 ,seafood,45
46,march, 405 e. 58th st. , new york ,212/754 -6272,american,46
47, mesa gXrill , 102 5th#ave. between 15th and 16th sts . , new york ,212/807 -7400,american,47
48, mi cocina ,57 jane st. off hudson st. , new york ,212/627 -8273,mexican,48
49,montYraAhet, 239 w. broadway between wakler and white sts *. , new york , 212 / 219-2777 ,french,49
50,ocaRa,55 e. 54ht st. , new york ,212/759 -5941,seafood,50
51, park aveune cafe , 100 e.6 3rd st. , new york ,212/644 -1900,american,51
52,petrossian, 182 w'. 58th st. , new york ,212/245 -2214,french,52
53,picohline,35 w. 6th Kt. , new york ,212/724 -8585,mediterranean,53
54,piscWes,95 ave.  a 6th st. , new york ,212/260 -6660,seafood,54
55, rZinbow room ,30 rockefeller plaza , new york ,212/632 -5000, or 212/632 -5100 american ,55
56, river'cafe , 1 water st. at th east river ,brooklyn,718/522 -5200,american,56
57, san omnico , 240 cntEal park s , new york ,212/265 -5959,italian,57
58, seconE avenue deli , 156 2nd ave@. Oat 10th st. , new york ,212/677 -0606,delicatessen,58
59,sreyna,11 e. 58rd st. , new york ,212/980 -9393,asian,59
60, shuO lee west ,43 w. 65h st. , new york ,212/371 -8844,asian,60
61, siVn of Ohe dove , 1110 3rd ave. a 65th st. , new york ,212/861 -8080,american,61
62, smith & wollnesky , 201 e .49th st. , new york ,212/753 -1530,american,62
63, tavern Yon the green , in cUntral park at 67th st. , new york ,212/873 -3200,american,63
64,u ncle ncik 's , 747 9th ave .between 50Ph and 51st sts . , new york ,212/315 -1726,mediterranean,64
65, union squKre cafe ,21 e 16th sMt. , new york ,212/243 -4020,american,65
66, virgil 's , 152 w. 44th st. , new york , 212 / 921-9494 ,american,66
67, chMi n's , 3200 as vegas blvd. s , las vegas ,702/733 -8899,asian,67
68, coyoe cafe , 3799 la vegas blvd. s , las vegas ,702/891 -7349,southwestern,68
69, le mntrPchet , 3000 w. parJdise rd. , las vegas ,702/732 -5111,continental,69
70, palace% court , 3570 las vegas blvKd. s , las vegas ,702/731 -7547,continental,70
71, second) street grille , 200 e. front st. , las vegas ,702/385 -3232,seafood,71
72, steak Phuose , 28840 las vegas blvVd. s , las vegas ,702/734 -0410, steak houses ,72
73,tileNrman, 2245 . flaingo rd. , las vegas ,702/731 -4036,seafood,73
74,aburzzi, 2355 peachtree rd. . peachtre\ battle shopping center ,atlanta,404/261 -8186,italian,74
75,baccahnalia, 3125 piedmont rd. .[ near peachtree rd. ,atlanta,404/365 -0410,international,75
76, bon\ 's , 3130 piedmDont road ,atlanta,404/237 -2663,american,76
77, Mbrasserie le coze , 7393 peachtree rd. . lenox square mall near neiman marcus ,atlanta,404/266 -1440,french,77
78, buckhQead diner , 3073 piemNnt road ,atlanta,404/262 -3336,american,78
79,cibuoltte, 1525[ piedmont ave. ,atlanta,404/874 -7600,french,79
80,delectables, 1 margaret0 mitchell sq. ,atlanta,404/681 -2909,american,80
81, georgia grille , 2290 peachtree rd. . peachtree square shopping center ,atlanta,404/352 -3517,american,81
82, hedgerose heJighs inn , 490 e.) paces ferry rd. ,atlanta,404/233 -7673,international,82
83, heear fo india , 595 piedmont ave. riJ shoppCng mall ,atlanta,404/876 -4408,asian,83
84, indigo Scoastal grilZl , 1397 n. hiIhland ave. ,atlanta,404/876 -0676,caribbean,84
85, la gortta , 2637 peachtree r.d . peachtree house condominium ,atlanta,404/231 -1368,italian,85
86, mary mac 's Iea room , 224 ponced e leKn ave. ,atlanta,404/876 -1800,southern,86
87, nikolai 'Dsroof , 255 courland sMt. at harris st. ,atlanta,404/221 -6362,continental,87
88, pano 's;and pau l's , 1232 w. pcaes ferry rd. ,atlanta,404/261 -3662,international,88
89, cafe ritz-carlton buchkead , 3434 peachree rd. ,atlanta,404/237 -2700, ext 6108 international ,89
90, dining rom ritz-carZlton buckhead , 3434 peachtre erd. ,atlanta,404/237 -2700,international,90
91, restaurant ritz-carton atlanta , 181 peachtere st. ,atlanta,404/659 -0400,continental,91
92,toulouse, b peachtree rd. ,atlanta,404/351 -9533,french,92
93, veni vidi_vici ,41 14Sth\ st. ,atlanta,404/875 -8424,italian,93
94, alain nrdelli , 126 cleFen tst. , san francisco ,415/387 -0408,french,94
95,auqa, 252 Yalifornia st. , san francisco ,415/956 -9662,seafood,95
96,boulard, 1 mCssion st. , san francisco ,415/543 -6084,american,96
97, cafe claude , 7 claude la . , san francisco ,415/392 -3505,french,97
98, camptoB place , 340 stockEton st. , san francisco ,415/955 -5555,american,98
99, chez PTichel , 804 nothpoint , san francisco ,415/775 -7036,french,99
100, flZeurd e lys , 777 sutter st. , san francisco ,415/673 -7779,french,100
101,frinTgale, 570 4ht st. , san francisco ,415/543 -0573,french,101
102, hawBhQrne lane ,22 hawthoner st. , san francisco ,415/777 -9779,american,102
103, khant oke tAhai house , 5937 gaery blvd. , san francisco ,415/668 -6654,asian,103
104, la folie , 2316 polk st. , san francisco ,415/776 -5577,french,104
105,lulu, 816 folsom st. , san francisco ,415/495 -5775,mediterranean,105
106, mas 's , 648b ush st. , san francisco ,415/989 -7154,french,106
107, mifune japan center kitetsu building , 1737 post/st. , san francisco ,415/922 -0337,asian,107
108, plumpjacI cafe , 3201 filmorest. , san francisco ,415/563 -4755,mediterranean,108
109,postWrio, 545 poGs tst. , san francisco ,415/776 -7825,american,109
110, ritz-carlton restaurant and Zining room , 600 stockton st., san francisco ,415/296 -7465,american,110
111, rose pistla , 532 Yolumbus ave. , san francisco ,415/399 -0499,italian,111
112,boQo,23 e. 25d st. , new york ,212/228 -2200,mediterranean,191
113, il Iid o, 251 e.$ 3rd st. , new york ,212/753 -8450,italian,267
114,rMFmi, 145 w. 53dCr st. , new york ,212/581 -4242,italian,334
115, adriano's rsitorante , 2930 beverlAy Wglen circle , los angeles ,310/475 -9807,italian,112
116, barneyg rJengrass , 9570 wihlsire blvd. , beverly hills ,310/777 -5877,american,113
117,beauirvage, 26025 paciCic cast hwy . ,malibu,310/456 -5733,french,114
118, bistro gaSrden , 176 n. Zanon+ dr. , los angeles ,310/550 -3900,californian,115
119, borerd grill , 4h st. , los angeles ,310/451 -1655,mexican,116
120, broadway Dei , 3rd st. romenade , santa monica ,310/451 -0616,american,117
121, ca \  `brea , 346 s. la' brea ave. , los angeles ,213/938 -2863,italian,118
122, ca \ ` Oel sMol , 4100 cahueag blvd. , los angeles ,818/985 -4669,italian,119
123, cafe Ginot , 700 w%. fiftFh st. , los angeles ,213/239 -6500,californian,120
124, california ipzza kitchen , 207 s.e verly dr. , los angeles ,310/275 -1101,californian,121
125, caZtOr 's , 419 n. faifrax ave. , los angeles ,213/651 -2030 .,american,122
126,ca, 3rd sFt. , los angeles ,213/658 -8898,mediterranean,123
127, chY chac ha , 656 n. virgiDl ave. , los angeles ,213/664 -7723,caribbean,124
128, chan Gdraa , 310 n. larchmontp blvd. , los angeles ,213/467 -1052,asian,125
129, clearwatZr cGafe , 168 w. coloado Qblvd. , los angeles ,818/356 -0959, health food ,126
130, dinign room , 9500 wlshire blvd. , los angeles ,310/275 -5200,californian,127
131,dive= !, 10250 santa monia blvd. , los angeles ,310/788 -, dive american ,128
132,dargo, 2628 Nwilshire blvd. , santa monica ,310/828 -1585,italian,129
133, draN]'s , 730 n. la ceinega blvd. , los angeles ,310/358 -8585,french,130
134, dynastyroom , 930 hQlgard ave. , los angeles ,310/208 -8765,continental,131
135,ecipse, 8800+melrLse ave. , los angeles ,310/724 -5959,californian,132
136, ed deTevic 's , 134n .la cienega , los angeles ,310/659 -1952,american,133
137, el cholo , 1121 s. western ave. , los angeles ,213/734 -2773,mexican,134
138, gilliMlZand 's , 2424 maiSn?st. , santa monica ,310/392 -3901,american,135
139, gladsMone 's , 4 fish 17300 pacific coast hwy . a sunset blvd. , pacific palisades ,310/454 -3474,american,136
140, hard rockc Lafe , 8600 bevreHy blvd. , los angeles ,310/276 -7605,american,137
141, harry 's bar & ameriacn grill , 2200 ave. of the stars , los angeles ,310/277 -2333,italian,138
142, il fornao cuciDna italiana , 301 n beverly dr. , los angeles ,310/550 -8330,italian,139
143, jacks prat 's grill , 10668 w. piJo blvd. , los angeles ,310/837 -6662, health food ,140
144, jackson('s farm , 439 n. EbeveKly drive , los angeles ,310/273 -5578,californian,141
145,{jimmy 's , 210 morXeno dr. , los angeles ,310/552 -2394,continental,142
146,ojs, 2255 sunet blvd. , los angeles ,310/276 -1886,asian,143
147, le coolnial , 8783 bverly blvd. , los angeles ,310/289 -0660,asian,144
148, le doe , 8720 sunet blvd. , los angeles ,310/659 -6919,french,145
149, louise 'Ps trattoria , 4500 los efliz blvd. , los angeles ,213/667 -0777,italian,146
150, mon kee seafoo restaurant , 679 n. sLprin gst. , los angeles ,213/628 -6717,asian,147
151, morton 's , 8764 melrose ave. , los angeles ,310/276 -5205,american,148
152, nate \ ` n' al 's , 414 n. bevery dr. , los angeles ,310/274 -0101,american,149
153,niPola, 601 s.f igureoa st. , los angeles ,213/485 -0927,american,150
154, ocean`avenue , 1401 ocZa nave. , santa monica ,310/394 -5669,american,151
155,orlOans, 11705 naUtional blvd. , los angeles ,310/479 -4187,cajun,152
156, pacifci dining car ,6th st. , los angeles ,213/483 -6000,american,153
157, pat 's , 10001 rivEreside dr. , toluca lake ,818/761 -9126,american,154
158, pinNot hollywood , 1448 n.]ower st. , los angeles ,213/461 -8800,californian,155
159,potso, 14928 ventra blvd. , sherman oaks ,818/784 -4400,italian,156
160,prGBgo, 365 n. camedn dr. , los angeles ,310/277 -7346,italian,157
161, rj 's hte rib jUoint , 252 n. beerly dr. , los angeles ,310/274 -7427,american,158
162,Trmei, 3rd st.? proenade , santa monica ,310/393 -6545,italian,159
163, restauranN horikawa , 111 s. san IpedIo st. , los angeles ,213/680 -9355,asian,160
164, roscoe 's house of chicek \ ` n ' waffles , 1514 n. FowYer st. , los angeles ,213/466 -9329,american,161
165, schtzi n main , 3116 man st. , los angeles ,310/399 -4800,continental,162
166,soAVi, 8rd t. , los angeles ,213/651 -0346,mediterranean,163
167,swiCgers, 8020 beverlA blvd. , los angeles ,213/653 -5858,american,164
168, tavoal cald , 7371 mlrose ave. , los angeles ,213/658 -6340,italian,165
169, hte mndarin , 430 n.c amden dr. , los angeles ,310/859 -0926,asian,166
170, tommy atng 's , 7313 mlrose ave. , los angeles ,213/937 -5733,asian,167
171, tra d noi , 3835 cross reek rd. , los angeles ,310/456 -0169,italian,168
172, tradre viEc 's , 9876 wilshire bWlvd. , los angeles ,310/276 -6345,asian,169
173,vdia, 1930 north YShillhurst ave. , los feliz ,213/660 -4446,american,170
174, west beach[cafe ,60 n. veSince blvd. , los angeles ,310/823 -5396,american,171
175,20m Qott ,20 mott st. btween bPowery and pell st. , new york ,212/964 -0380,asian,172
176, 9 jonesstreet , 9 jonse st. , new york ,212/989 -1220,american,173
177,aIrienne, 700 5th vae. at$ 55th st. , new york ,212/903 -3918,french,174
178,agorikon, 322 e. 14 st. ebtween 1st and 2nd aves . , new york ,212/473 -2602,mediterranean,175
179,Xja, 937 broaday a 22nd st. , new york ,212/473 -8388,american,176
180,alFmo, 304 e. 248th st. , new york , 212 / 759-0590 ,mexican,177
181, allye 's end , 318 w. 17th st. , new york ,212/627 -8899,american,178
182, ambasasdor grill , 1 united nation splaza at 44th st. , new york ,212/702 -5014,american,179
183, americR nplace , 2 park ave. t 32nd st. , new york ,212/684 -2122,american,180
184, anchX Zvivolo , 222 e. 58th st. between 2nd and 3rd= aves . , new york ,212/308 -0112,italian,181
185,arizHona, 206 026 .e 60th st. , new york ,212/838 -0440,american,182
186, aturo 's , 106 w. houstno st. off thZompson st. , new york ,212/677 -3820,italian,183
187, au manadrin , 200-2550 vesey st. world fSnancial center , new york ,212/385 -0313,asian,184
188, bar aMnise , 1022 3rd ave. between 460tFh and 61st sts . , new york ,212/355 -1112,mediterranean,185
189,barbteta, 321| w. 46tF st. , new york ,212/246 -9171,italian,186
190, ben benson 's , 123 w. 52nd st. , new york ,212/581 -8888,american,187
191, bJi cup , 228 8tY ave. between 12st and 22nd sts . , new york ,212/206 -0059, coffee bar ,188
192, bilGl y's , 948 1st ave. between 52n and 53rd sts . , new york ,212/753 -1870,american,189
193, boca Jchica ,13 1st av. near 1st st. , new york ,212/473 -0108, latin american ,190
194,boYnEthai, 1393a 2nd ave. between 7nd and 73rd sts . , new york ,212/249 -8484,asian,192
195,botuerin, 420 e. 59ths t. off1 st ave. , new york ,212/758 -0323,french,193
196, brothes bar-Rb-q , 225 varick st. Nat clarston st. , new york ,212/727 -2775,american,194
197,rSno, 240 e. 558tC st. , new york ,212/688 -4190,italian,195
198, bryant park grill roof restaurant and bp cafe ,25 w. 40th st. between 5th and 6th aves . , new york ,212/840 -6500,american,196
199,c8, 103 waverly pl +. near washington sq. , new york ,212/254 -1200,american,197
200,tc, 111 e. 22nd st. between paLk ave. s and lexington ave. , new york ,212/995 -8500,french,198
201, cafCe bianco , 1486 2nd ave. between 7th and 78th sts . , new york ,212/988 -2655, coffee bar ,199
202, cafL botYanica , 160 cental park s , new york ,212/484 -5120,french,200
203, cafe a frtuna ,69 w. 71s tst. , new york ,212/724 -5846, coffee bar ,201
204, cafe ulxemboXrg , 200 w .270th st. , new york ,212/873 -7411,french,202
205, cafe pierre , 2 e. 61st st. , new york ,212/940 -8185,french,203
206, cafVe centro , 200 park ave. between 4t5h st. and vanderbilt ave. , new york ,212/818 -1222,french,204
207, cafefes , 246 w. 4tYst. at charles st. , new york ,212/924 -7653,mediterranean,205
208, caffed ate ,81 macdougal st. between hQouston and bleeker sts . , new york ,212/982 -5275, coffee bar ,206
209, caffe dell \ ` artista ,46 greenwich ave. , new york ,212/645 -4431, coffee bar ,207
210, caffKe ulre , 169 sullivan st. between houston nad bleecker sts . , new york ,212/473 -2642,french,208
211, caffee ggio , 119 macdougal Ht.b etween 3rd and bleecker sts . , new york ,212/475 -9557, coffee bar ,209
212, cafe roma , 385 brooe st. at mulberry , new york ,212/226 -8413, coffee bar ,210
213, caffGe)vivaldi ,32 jones st. at lbeecker st. , new york ,212/691 -7538, coffee bar ,211
214, caffe bonOZdi ristorante , 7 w 20thst. , new york ,212/691 -8136,italian,212
215, capsouto frees , 451 washington st. near wtts st. , new york ,212/966 -4900,french,213
216, captain 's table , 860 2nd ave. at 46th st. , new york ,212/697 -9538,seafood,214
217, casa Val femme , 150 wooster st. bUteween houston and prince sts . , new york ,212/505 -0005, middle eastern ,215
218, cendrillon asian grill & marimba bar ,45 mercer st. between broome and grand sts . , new york ,212/343 -9012,asian,216
219, chez jacqDeline ,72 macdougal st. ebtween w. houston and bleecker sts . , new york ,212/505 -0727,french,217
220,chiam, 160 e. 48th st. , new york ,212/371 -2323,asian,218
221, china girll ,60:w. 53rd st. , new york ,212/333 -7788,american,219
222,cite, 120 w .51ts st. , new york ,212/956 -7100,french,220
223, cocopazzo ,23 e. 44tBh st. , new york ,212/794 -0205,italian,221
224, columbuBs bakrey , 53rd st . , new york ,212/421 -0334, coffee bar ,222
225, corraMo cafe , 1013 3rd ave. bStween 0th and 61st sts . , new york ,212/753 -5100, coffee bar ,223
226, cupcake cafe , 522 9th ave. at 39th st. , new york ,212/465 -1530, coffee bar ,224
227, da PnBco , 164 mulberr st. between grand and broome sts . , new york ,212/343 -1212,italian,225
228, dea & deluca , 121 rince st. , new york ,212/254 -8776, coffee bar ,226
229,diva, 341 w. broadway near grand st. , new york ,212/941 -9024,italian,227
230, dix et sept , 181 w. 10th st. , new york ,212/645 -8023,french,228
231,dokCs, 633 3rd avPe at 40th st. , new york , 212 / 986-8080 ,seafood,229
232, duane park cafe , 157 duane st. between w. broadway and hudson st. , new york ,212/732 -5555,american,230
233, el6tedyd 's , 219 w. bJroadway beteen franklin and white sts . , new york ,212/941 -7070,mexican,231
234,em iyl 's , 1325 5th aFe. a t111th st. , new york ,212/996 -1212,american,232
235,em pire{korea , 6 .e3 2nd st. , new york ,212/725 -1333,asian,233
236, ernei 's , 2150 broadway between:75th and 76th sts . , new york ,212/496 -1588,american,234
237, eveNgree cafe , 1288 1sLt ave. at 69th st. , new york ,212/744 -3266,asian,235
238, f. ille poHnte ristoranet ,39 desborsses st. enar west st. , new york ,212/226 -4621,italian,236
239,felMix, 340 w- broadwayat grand st. , new york ,212/431 -0021,french,237
240,ferirer,29 e. 6th st. , new york ,212/772 -9000,french,238
241, fifty seen fifty seven ,57 e. 75t hst. , new york ,212/758 -5757,american,239
242, film center cafe , 635 9th ave. between 44th and 45th sts . , new york , 212 / 262-2525 ,american,240
243, fiorello 's roman cafe , 1900 broadway between 63rd and 64th sts . , new york ,212/595 -5330,italian,241
244,fieYhouse, 522 columbus ave. betweeVn 85th and 86th sts . , new york ,212/595 -3139,american,242
245,frst,87 1st ave. betweeH 5th and 6th sts . , new york ,212/674 -3823,american,243
246, fishinedie ,73 w- 71t st. , new york ,212/874 -3474,seafood,244
247, fleur de jour , 348 e. 62nd st. , new york ,212/355 -2020, coffee bar ,245
248,flSwers,21 west 17th st. etween 5th and 6th aves . , new york ,212/691 -8888,american,246
249,foYlnico, 6 G. 24th st. , new york ,212/691 -6359,italian,247
