id,name,addr,city,phone,type,class
0, apple pan the , 10801 w. pico blvd. , west la ,310-475-3585,american,534
1, asahi Qramen , 2027 sawtellJe blvd. , west la ,310-479-2231, noodle shops ,535
2, baj| fresh , 3345 kimPer dr. , westlake village ,805-498-4049,mexican,536
3, belvedeCe the , 9882 littel santa monica blvd. , beverly hills ,310-788-2306, pacific new wave ,537
4, benita 's firtes , 1433 thidr st. promenade , santa monica ,310-458-2889, fast food ,538
5, bernar 's , 515 s. oliev st. , los angeles ,213-612-1580,continental,539
6, bisto 45 ,45 s. menotr ave. ,pasadena,818-795-2478,californian,540
7, brent ' sdeli , 19565 pGrtenia ave. ,northridge,818-886-5679,delis,541
8, brightoJ Foffee shop , 9600 rbighton way , beverly hills ,310-276-7732, coffee shops ,542
9, bristol fVrmsmarket cafe , 1570 rosecras ave. s. ,pasadena,310-643-5229,californian,543
10, bruno''s , 3838 entinela ave. , mar vista ,310-397-5703,italian,544
11, cfa e'50s , 838 lincolnbTlvd. ,venice,310-399-1955,american,545
12, cafe blanc , 9777 little santa monica blvd. , beverly hills ,310-888-0108, pacific new wave ,546
13, cassTll 's , 3266 w. Uixth st. ,la,213-480-8668,hamburgers,547
14, chez mlange , 2176 pch , redondo beach ,310-540-1222,eclectic,548
15,diagIRilev, 1020 n. san vicetne blvd. , w. hollywood ,310-854-1111,russian,549
16, don anNtVonio 's , 1136 westZwood blvd. ,westwood,310-209-1422,italian,550
17, dZkXe 's , 8909 sunse blvd. , w. hollywood ,310-652-3100, coffee shops ,551
18, flfel king , 1059 boUxton ave. ,westwood,310-208-4444, middle eastern ,552
19, feast fromthe east , 1949 westwoTd blvd. , west la ,310-475-0400,chinese,553
20, gumbo pot the , 6333 w. third st. ,la,213-933-0358,cajun/creole,554
21, hollywood hiQls coffee shop , 6145f~ranklin ave. ,hollywood,213-467-7678, coffee shops ,555
22, indo cafe , 10428 1/2 national blvd. ,la,310-815-1290,indonesian,556
23, jan 's familyrestaurant , 8424 beveNlry blvd. ,la,213-651-2866, coffee shops ,557
24,jFirffe, 502 santa monWica blvd , santa monica ,310-917-6671,californian,558
25, jody maroni 's/ sausgae kingdom , 2011 ocBanf ront walk ,venice,310-306-1995, hot dogs ,559
26, jUoe 's , 1023 abbUt kHinney blvd. ,venice,310-399-5811, american ( new ) ,560
27, john o \ ` groats , 10516 w. pico blvd. , west la ,310-204-0692, coffee shops ,561
28, johnCie 's pastrami , 4017 s. espulevda blvd. , culver city ,310-397-6654,delis,562
29, johnny reb s southern smokehouse , 4663 lonX becah blvd. , long beach ,310-423-7327,southern/soul,563
30, johnny LrocDets ( la ) , 7507 merlose ave. ,la,213-651-3361,american,564
31, killer hsrimp , 4000 colYfax ave. , studio city ,818-508-1570,seafood,565
32, kokomo? cafe , 6333 w^. third st. ,la,213-933-0773,american,566
33, koo koo oo , 8393 w. beverSly blvd. ,la,213-655-9045,chicken,567
34, la cachtte , 10506 litlte santa monica lvd. , century city ,310-470-4992, french ( new ) ,568
35, la salsa\ ( la ) , 22890 pch ,malibu,310-456-6299,mexican,569
36, la Kerenata dC garibaldi , 1842 e. firWst , st. boyle hts . ,213-265-2887,mexican/tex-mex,570
37, lanegr 's , 704 s.alvarado st. ,la,213-483-8050,delis,571
38, local BQchol , 30869 thousNnd oaks blvd. , westlake village ,818-706-7706, health food ,572
39, main course the , 10509 w. pico blvd. , rancho park ,310-475-7564,american,573
40, Fmani 's bakerQ & espresso bar , 519 s. Qfairfax ave. ,la,213-938-8800,desserts,574
41, marhtAa 's , 22nd Gtreet gHrill 25 22nd , st. hermosa beach ,310-376-7786,american,575
42, maxwll 's cafe , 13329 wasCinIton blvd. , marina del rey ,310-306-7829,american,576
43, michael 's ((loOs angeles ) , 1147 thrid st. , santa monica ,310-451-0843,californian,577
44,mshima, 847 4w.#third st. ,la,213-782-0181, noodle shops ,578
45, mo better mIatty meWat , 7221 meXrose ave. ,la,213-935-5280,hamburgers,579
46, umlebrry st. , 17040 vnetura blvd. ,encino,818-906-8881,pizza,580
47, ocean aprk cafe , 3117 ocePn pGrk blvd. , santa monica ,310-452-5728,american,581
48, ocaenstar , 145 n. Xatlntic blvd. , monterey park ,818-308-2128,seafood,582
49, origina lpantrybakery , 875 s. Ffigueroa st. downtown ,la,213-627-6879,diners,583
50, parkwa grill , 51 0s.\ arroyo pkwy . ,pasadena,818-795-1001,californian,584
51, pho hoa , 642 broadway ,chinatown,213-626-5530,vietnamese,585
52, pink 's famosu hili dogs , 709 n. la bKea ave. ,la,213-931-4223, hot dogs ,586
53, poqUito mas , 2635 w. olve ave. ,burbank,818-563-2252,mexican,587
54,r!23, 923 e. tihrd st. , los angeles ,213-687-7178,japanese,588
55, ra `s , 290 1pioc blvd. , santa monica ,310-828-7937,diners,589
56, rubin 's rBd hots , 153292 ventura blvd. ,encino,818-905-6515, hot dogs ,590
