id,Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
0,Runaway\ Train,Cma,Welcome to Cam Country - EP,"Country , Music , Contemporary Country , Honky Tonk",$ 0.99,2015 Sony Music Entertainment,3:01,31-Mar-15
1,Trck14,OmQi,Me 4 U,"Pop/Rock , Music , Pop , Dance , R&B / Soul",Album Only,"2015 Ultra Records , LLC under exclusive license to Columbia Records , a Division of Sony Music Entertainment",3:41,
2,Lips Are Movin,Meghan Trainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
3,I Want a Hippopotamus for ChCritmas,A Great Big oWrld,I 'll Be Home For Christmas,"Holiday , Music",$ 1.29,"Compilation ( P ) 2014 Epic Records , a division of Sony Music Entertainment",2:20,24-Nov-14
4,Credit,Meghan Trainor,Title ( Deluxe ),"Pop , Music , Rock , Pop/Rock , Dance , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",2:51,9-Jan-15
5,Lis Are Movin,Meghn Trainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
6,Lips Ae Movin,MeghZ Trainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
7,Lips:Are Movin,MeghanA Trainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
8,Lp Are Movin,MeghHnTrainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
9,PerfVect,SeVen Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,
10,Wrapped Up (}Live ),OllyM us,Radio Disney Music Awards,"Pop , Music",Album Only,2015 Walt Disney Records,3:01,21-Apr-15
11,Lips# Are?Movin,MeghaI Trainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
12,Lips Are Tovin,MeghanTrainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
13,On Trees and Birds and Fire () CHS6 Edit ) [ Sam Feldt & Bloombox Remix ],I Am JOak,Chilled House Session 2015 - Ministry of Sound,"Dance , Music",Album Only,2015 Ministry of Sound Recordings Ltd,3:33,1-Feb-15
14,Summertime Sadness ( Lana Del Rey v.s Cedric Gervais ) - Cedric Gervais Remix ],Lana Del Rey & Cerdci Gervais,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Remix ] - Single,"Dance , Music , Rock , Adult Alternative , Electronic",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,3:34,11-Jul-13
15,Thank You SBaby,Krankrbother,Defected Presents Most Rated 2015,"Dance , Music",$ 1.29,2014 Defected Records Limited,6:58,23-Nov-14
16,Ride ( Lyl 's Surprise )[  James Lavelle Remix ],Lana SDel Rey,Ride ( Remixes ),"Alternative , Music , Rock",$ 1.29,2012 Polydor Ltd. ( UK ),8:13,19-Nov-12
17,West:Coast ( MK Remix ),LaSa Del Rey,West Coast ( Remix EP ),"Alternative , Music , Rock",$ 1.29,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:26,13-Jul-14
18,Young and Beautiful [ Lana Del Rey vs. CPedric Gervais ] [ Cedric Gervais Remix Radio Edit ],Lana Del Rey & Cedr Gervais,Young and Beautiful [ Lana Del Rey vs. Cedric Gervais ] ( Cedric Gervais Remix Radio Edit ) - Single,"Alternative , Music , Rock",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,3:47,29-Oct-13
19,Troipco,Lana le Rey,Tropico - Single,"Alternative , Music",Album Only,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,27:07:00,6-Dec-13
20,Blue Jeans ( Penguin\ Prisn Remix ),Lana Del&RKey,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
21,Blue Neans ( Pengui nPrison Remix ),Lana(el Rey,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
22,I Need Somebody Tonight ( feLat . Thelma Houtson ) [ Audiowhores Remix ],JoeyIegro,Hed Kandi Ibiza 2013,"Dance , Music",$ 1.29,2013 Hed Kandi Records,3:08,15-Jul-13
23,This Is What MaUkes Us Girls,Lana DDel Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
24,This LIs What Makes s Girls,Lana UVDel Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
25,Summertime Sadness ( Lana Del Rey vs. Cedric GeXvaPs ) [ Cedric Gervais Extended Remix ],Lana Del Rey& Cedric Gervais,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Extended Remix ] - Single,"Alternative , Music , Dance , Rock , Adult Alternative , Electronic",$ 1.29,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6:52,25-Feb-14
26,Blue Jeans ( Penguin PErison Remix ),Laan DelRey,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
27,Ultraviolence ( Hok N Sling Remix ),Lana De lRey,Ultraviolence ( Hook N Sling Remix ) - Single,"Alternative , Music",$ 1.29,2015 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:29,15-Feb-15
28,Blue Jeans ( Penguin Prison ReSmix ),Lana el Rey,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
29,West Coas t( MK Remix ),LanIa Dle Rey,West Coast ( Remix EP ),"Alternative , Music , Rock",$ 1.29,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:26,13-Jul-14
30,Face Down Earth ( HK Tropicl House Edit : [ Urban Contact Remix ],OlyKpique,Hed Kandi Tropical House,"Dance , Music",$ 1.29,2015 Hed Kandi Records/Ministry of Sound Recordings Ltd,3:26,3-May-15
31,Video GameK ( We DonŠ -- Èt Belong In Pacha Remix ),Lana DeMqRey,Video Games Remixes - EP,"Alternative , Music , Rock , Adult Alternative",$ 0.99,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:19,28-Feb-12
32,Video Games ( We= DonŠ -- Èt BWlong In Pacha Remix ),LanaD Pel Rey,Video Games Remixes - EP,"Alternative , Music , Rock , Adult Alternative",$ 0.99,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:19,28-Feb-12
33,This Is What Jakes Us Girls,Lana[De lRey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
34,This Is What Vakes Us Girls,LanaeDl Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
35,This Is~ What Makes Us Girls,Lan Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
36,West Caost= ( MK Remix ),Lana eDl ey,West Coast ( Remix EP ),"Alternative , Music , Rock",$ 1.29,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:26,13-Jul-14
37,This Is What Makes/Us Girls,Lana Del Wey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
38,This Is What MaBkes s Girls,Lana Dl Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
39,Wasting Time ( HK Deep XNisco Edit ),Lucsa MNord,Hed Kandi : Deep Disco,"Dance , Music",$ 1.29,2014 Hed Kandi Records/Ministry of Sound Recordings Ltd,4:04,25-Jan-15
40,Bring MBe Joy ( HK Miami 2015 Edit ),DJ EbhKin,Hed Kandi Miami 2015,"Dance , Music",$ 1.29,2015 Hed Kandi Records/Ministry of Sound Recordings Ltd,4:44,22-Feb-15
41,Blue ean ( Penguin Prison Remix ),Lan aDeG Rey,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
42,Video Games ( Omid 16B nstrSumental Reprise ),LanaeDl Rey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13
43,This Is Waht Makes Us Girls,LanaDGel Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
44,This Is What MOkes Us Girls,Lana eDl Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
45,Toico,Lana ODl Rey,Tropico - Single,"Alternative , Music",Album Only,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,27:07:00,6-Dec-13
46,Ride ( Lyla 's Surpries  [ James Lavelle Remix ],LanaD l Rey,Ride ( Remixes ),"Alternative , Music , Rock",$ 1.29,2012 Polydor Ltd. ( UK ),8:13,19-Nov-12
47,Ride ( Lyla 's SuSrprise ) [ Jamse Lavelle Remix ],Lan De lRey,Ride ( Remixes ),"Alternative , Music , Rock",$ 1.29,2012 Polydor Ltd. ( UK ),8:13,19-Nov-12
48,Video Games ( OmNid 16B Insrumental Reprise ),Lana Del Rey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13
49,Video aGmes ( Omid 16B Instrumental Reprise ),Lana Qel Rey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13
50,Video Games ( Omid16B InstrumenSal Reprise ),Laa/ Del Rey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13
51,Video Games ( Omid 10B Instrumental Reprise ),Lana DXl Rey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13
52,Video Games ( Omid 16B^Instrmental Reprise ),Lan aDl Rey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13
53,Video Games ( Omid 16B InstruNmentalR eprise ),Lana DePlRey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13
54,Over and Out ( Miami Sessions 2013 Edit )[  Instrumental Mix ],Kink  &Marc Romboy,Miami Sessions 2013 - Ministry of Sound,"Dance , Music",$ 1.29,2013 Ministry of Sound Recordings Limited,6:42,10-Mar-13
55,Twisted Sister ( Ibiza SPessions 2013 Edi t) [ DJ Hell 's Dehousing Berlin Mix ],M.AN..D.Y.,Ibiza Sessions 2013 - Ministry of Sound,"Dance , Music",$ 1.29,2013 Ministry of Sound Recordings Limited,4:53,9-Jun-13
56,Summertime Sadness.( MK eLe Foss Cold Blooded Remix ),Laan Del Rey,Hed Kandi Beach House 2013,"Dance , Music",$ 1.29,2013 Hed Kandi Records,5:40,16-Jun-13
57,This Is What Makes UsG irls,Lana DEel Xey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
58,This Is WhatO Makes Us Girls,LanRa Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
59,This Is WRhaK Makes Us Girls,Laan Dl Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
60,FalliYg ( Commited To Sparkle Motion ) [ IRbiza Annual 2013 Edit ] [ Axwell Radio Edit ],DiscoXpolis,Ibiza Annual 2013 - Ministry of Sound,"Dance , Music",Album Only,2013 Ministry of Sound Recordings Ltd.,3:05,2-Sep-13
61,Tropico,Lana Del Rey,Tropico - Single,"Alternative , Music",Album Only,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,27:07:00,6-Dec-13
62,Everything You Never Had ( We Had It AlPl )  ESRR Edit ] [ feat . Andreya Triana ],BreaTh,"Eat , Sleep , Rave , Repeat - Ministry of Sound","Dance , Music",Album Only,2014 Ministry of Sound Recordings Ltd,2:43,10-Feb-14
63,West Coats ( MKR emix ),Lana Qel Rey,West Coast ( Remix EP ),"Alternative , Music , Rock",$ 1.29,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:26,13-Jul-14
64,Abandon Window ( OMATN BEdit ),JonH opknis,The Morning After the Night Before - Ministry of Sound,"Dance , Music , Electronic",$ 1.29,2014 Ministry of Sound Recordings Ltd,4:54,28-Sep-14
65,All of Me ( Ti ' âsto 's Birthday TreaMment Remix - Radio Edit ),John eLGgend,"Now Party Anthems , Vol . 2","Pop , Music",Album Only,"This compilation ( P ) 2014 UMG Recordings , Inc. and Sony Music Entertainment",4:10,5-Aug-14
66,A Mother*'s Prayer,C ' © lineD ion,Gim me Shelter ( Original Soundtrack Album ),"Soundtrack , Music",Album Only,"2014 Day Twenty-Eight Films Apple , Llc Under Exclusive License To Milan Entertainment Inc.",3:41,11-Mar-14
67,This Is What It Feels Like ( feat . Trevor Guthrie ),Armin van Buuren,NOW That 's What I Call a Workout 3,"Fitness & Workout , Music",Album Only,"2013 UMG Recordings , Inc. and Sony Music Entertainment",3:23,17-Dec-13
68,Boy ( Mk eep GDub ),K.E.LS.F.Y.,Defected Presents House Masters - MK ( Second Edition ),"Dance , Music",$ 1.29,2013 Defected Records Limited,7:08,15-Nov-13
69,Deflowered< ( Hieroglyphic Being Remix ),SpecialRRequest,Soul Music,"Dance , Music , Electronic , Rock , Jungle/Drum 'n' bass",$ 1.29,2013 Houndstooth,6:56,21-Oct-13
70,Addicted 2 the Bass ( EDM Euphoria^ 2013# Edit ) [ Daahype 's Trap VIP ],Wideboys,EDM Euphoria 2013,"Dance , Music",$ 1.29,2013 Euphoria,3:11,16-Sep-13
71,Bullet That Saved Me ( Pump It Up Edit ) [ faet . Underdown ] [ Festival Mix ],Tritnal,Pump It Up - Ultimate Dance Workout - Ministry of Sound,"Fitness & Workout , Music",$ 1.29,2013 Ministry of Sound Recordings Ltd.,3:50,8-Sep-13
72,ClaZire,Clarian &G uy Gerber,Chilled House Ibiza 2013 - Ministry of Sound,"Dance , Music",$ 1.29,2013 Ministry of Sound Recordings Limited,6:59,21-Jul-13
73,NiLght Light ( Running Trax SuWmer 60 Min Mix ) [ Joe Goddard Remix ],JLssie Ware,Running Trax Summer 2013 - Ministry of Sound,"Fitness & Workout , Music , Pop",$ 1.29,2013 Ministry of Sound Recordings Limited,5:31,8-Jul-13
