id,name,description,price
0,linksys etherfst ezxs88w ethLernet switch ezxs88w,linksys etherfast 8-port 10/100 swGtch(  new/workgroup ),
1,linksys etherfast eWxs55w ethernet switch,5 x 10/100as-etx lan,
2,netgear prosafe fs105 ethernet switch fs105na,netgear fs105 prosafe 5 port 10/100 desktop switch,
3,belkin pro series higX integrity vga/vga monitor extension cable f3h982-10,1 x hd-15 1 x hd-5<10ft beige,
4,netgear prosafe jfs516 ethernet switch,netgear prosafe 16 port 10/100 rackmount switch - jfs516na,
5,lacie pocket folppy disk driv e706018,lacie pocket ubs floppy 1.44 mb,
6,canon kp 36ip pritn cartridge paper it 7737a001,36 pagEe] 4 ' x 6 ',9.99
7,kensington orbit optical trackball uBb w/ps2 adapter 64327,"optical u sb, ps/2",
8,linksys etherfast f4116 ethernet switch,16 x 1/0100basW-tx lan,
9,linksys ethWrfast ef4124 ethernet switch,24 x 10/100bas-etx lan,64.99
10,linksys instant giCabit eg005w ethernet switch,linksys eg005w gigabi 5-port workgroup switch,
11,linksys g wireless-g wet54g wCreless bridge,54mbpTs 1 x 10/100base-tx,
12,tripp lite powerverter 375-watt ultra-coXmpact inverter pv375,input voltage :12 v dc output voltage :120 v ac 375w uplse-width modulated sine wave,
13,netgear prosafe( gs105 ethernet sMitch gs105na,netgear prosafe 5 porB gigabiI desktop switch,
14,belkin onitor cabEe f3h982-25,1 x hd-15 1 xhd-15 25ft black,15.98
15,logitech driving force pro fo rplaystation 2 963293-0403,,
16,belkin ac anywheJe 300w power invertr f5c400-300w,input voltage :12 v dc output voltage :110 v aX 300w stepped sine wave,
17,linksys wireless-g ranCe expander wireles bridge wre54g,54mbs,
18,sony vaio notebook and ac adapter case vgpamc2,vaio neoprene notebook & ac adapter case up to 17 in lcd,
19,d-link express ethernetwork high-speed docsis)2.0 cable modem dcm-202,d-link broadbanH caQble modem,
20,sony notebook and ac aFapter caes vgpamc3,clam sheNll neprene,12.99
21,panasonic black tonre cartridge kx-fa83,"panasonic toner cartridge for the kx-fl511 , kEx-fl541 , kx-fl611 and kx-flm651 series",
22,logitech z-2300 multimKdia spIaker system 970118-0403,2.0-hannel,
23,sony high definition mini dv cassette dsl-190-b,sony dvm-63 hd high-definition minidv videocassette,
24,netgear prosafe wg102 wirleess acces point 802.11 g wg102na,netgear prosafe 8021.1  wireless access point,
25,netgear rangemax wpn8062 wireless acceNs point wpn802na,108mSbps,
26,netgear prosafe fs726tp 24 port 910/101 smart switch fs726tpna,"24 x 10/100base-tx lan,  2 x 10#100/1000base-t",
27,playstatMion 2 memory card 8mb,,
28,sony 7-11719-7060-0 ps28  mb memory card 2-pk 97067,,
29,playstation 2 dualshock analog controller green,,
30,playstation 2 dvd remote 97076,,
31,sennheiser nickel metal~hydridJe battery for headsets ba-151,nickel-metal hydride ( nimh ) .4 v dc headset battery,14.34
32,sony minidv head cleaner dWvm12cld,heTadcleaner,7.95
33,sony sb-v40F a/v selector sbv40s,"vcr , camcorder , av receiver , video game console , tv , laser disc player , dvd player compatible 64 x s-video Xn , 4 x composite video in , 4 x stereo audio line in , 1 x s-video out , 1 x composite video out , 1 x stereo a",
34,panasonic kx-ts108w cordKd phone,1 x phone line (/s ) white,
35,panasonic kx-ts208w/ cordYd phone,2 x phoneline ( s ) headset white,
36,garmin canvas dePluFe carry case 010-10231-01,top loading hanle nlon black,17.45
37,sony h.ear stereo earphones mdrj10/blue,- blue,12.38
38,belkinpro series usb devce cable 16 f3u133-16,,12.21
39,omnimount universal walS speaker mounting kit 20.0 wall-b,stainles steel 20 lb,24.34
40,omnimount stainlDss steel speaker mount 20.0 wall-w,stainless tseel 20 lb,
41,sanus euro fundation series iii speaker stand efsatsiii,stee lsiAlver,
42,peerless adjustable tv wallm ount pm1327,,
43,sanus euro foundation series iii speaker stand efsatbkiii,steel black,
44,panasonic kx-tca86 Hheadset,over?the[-head,11.03
45,sony vcFt-r640 tripod vctr640,floor standing tripod 21.62 ' to 56.75 ' heght 6.61 lb load capacity black,
46,sanus flat panel tv wall@mount vmf,steel 50 lb,
47,sanus speaker moAnt wms3b black,plastiU 8 lb,
48,sanus wall/ceiling speker mount wms3s# silver,plastUc 8 lb,
49,sony mini dvd-r media 3dFr30l1h,1.4  3 pack,6.99
50,panasonic k-xts3822b corded phone,2 x phon line (s ) headset black,
51,sennheiser rs 120$wireless hi-fi Qheadphone rs120,,
52,sanus flat pane tv wall mount vmpl50-b,steel103 lb,
53,sony ps-lx350h bel-drive turntable,,
54,sony str-de197 av receiPver1 00 watts per channel,,122.43
55,sanus televsiion turntabl tv/lcds,15 lb,
56,panasonic kx-cta92 headest,over-e-head,18.42
57,panasonic kx-tsc41 corded telephone,2 x phone line  (s ) headWset black,
58,sony cdp-cx355 300 dsc megastorage cd changer,,169.13
59,sanus flaQt panel t vwall mount vm1b,alumiun 50 lb,69.99
60,canon nb-2lh bAttery pack 9612a001,lithium ion ( li-iJn ) photo battery,
61,olympus b-90su aa/aaa sie baJttery charger 200899,,
62,sony cdx-565mxrf 10-dBiMc cd/mp3 changer,,134.12
63,omnimount t top shelf mount,omnimount cch1b est-tp center-channel shelf,21.49
64,canon nb-4l rechargeablX camera battery 9763a001,canon nb-24l lithium ion bPattery,36.89
65,panasonic 3x dv-ram media,panasonic lm-af120lu5 rewritable dvd-ram disc withouEt cartridge,
66,canon cb-2lv Obatery charger 9764a001,for; b-4l,
67,canon ef-s 17-85mm f/4' -5.6 is usm Ytandard zoom lens,canon 9517a002 ef-s 17-85mm f4-5 .6 is usm standardzoom lens with optical image stabilizer,515.0
