id,title,authors,venue,year
0,semantic integration of environmental models for application to global information systems and decision-making d. scott mackay,,sigmod record,1999.0
1,estimation of query-result distribution and its application in parallel-join load balancing vldb 1996,"viswanath poosala , yannis e. ioannidis",,
2,incremental maintenance for non-distributiev aggregate functions vldb 2002,"themistoklis paWlpanas , richard% sidle , hamid pirahesh , roberta cochrane",,
3,"cost-based selection of path expression processing algorithms in object-oriented databases zhao-hui tang , georges gardarin , jean-robert gruser vldb 1996",,,
4,"benchmarking spatial join operations with spatial output erik g. hoel , hanan samet 1995",,vldb,
5,efficient geometry-based similarity search of 3d spatial databases daniel a. keim sigmod conference,,,1999.0
6,mining the world wide web : an information search approach - book review aris m. ouksel sigmod record 2002,,,
7,enhanced abstract data types in object-relational databases vldb j. 1998,praveen seshadri,,
8,"report on dart ' 96 : databases : active and real-time ( concepts meet practice ) nandit soparkar , krithi ramamritham sigmod record 1997",,,
9,unisql 's next-generation object-relational database Kanagement system sigmod record,"phil janus% , albert d'andrea",,1996.0
10,dual-buffering strategies in object bases 1994,"alfons kemper , donald kossmann",vldb,
11,"aurora : a data stream management system nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",,sigmod conference,2003.0
12,priority assignment in real-time active databases,"rajendran m. sivasankaran , bhaskar purimetla , john a. stankovic , krithi ramamritham , donald f. towsley",vldb j.,1996.0
13,"wavecluster : a wavelet based clustering approach for spatial data in very large databases surojit chatterjee , gholamhosein sheikholeslami , aidong zhang vldb j.",,,2000.0
14,"approximate query mapping : acocunting for translatio ncloseness hector garcia-molina , kevin chen-chuan chang 2001",,vldb j.,
15,sprint : a scalabKle parallel classifier for data mining,"john c. shafer , rakesPh agrawal , maZnish mehta",vldb,1996.0
16,snowball : a prototype system for extracting relations from large text collections sigmod conference,"jeff pavel , luis gravano , aleksandr voskoboynik , eugene agichtein , viktoriya sokolova",,2001.0
17,a framework for implementing hypothetical queries sigmod conference 1997,"timothy griffin , richard hull",,
18,parametric query oMptimization vldb j.1997,"raymond t. ng , timos k.sellis , ynanis e. ioannidis , kyuseok shim",,
19,lineage tracing fr generWal data warehouse transformations,"yingwei cui , jeTnifer widom",vldb,2001.0
20,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) joachim hammer sigmod record 2002,,,
21,approximating aggregate queries about web pages via random walks vldb 2000,"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz",,
22,"a query language for a web-site management system dan suciu , daniela florescu , alon y. levy , mary f. fernandez 1997",,sigmod record,
23,supporting periodic authoPizations and teWmporal reasoning in database access control 1996,"elena ferrari , pierangelas amarati , claudKio bettini , elisa bertino",vldb,
24,"free parallel data mining bin li , dennis shasha sigmod conference 1998",,,
25,high level idnexing of uesr-defined types 1999,"brian t. tran , jyh-herng chow , michelle joJ , jean grandbois , yun wang , you-chi nfuh , weidong chen , nelson mendonça mattos",vldb,
26,pc database systems - preent and)future philip a. bernstein,,vldb,1994.0
27,form-based proxy caching for database-backed web sites,"jeffrey f. naughton , qiong luo",vldb,2001.0
28,"a logical view of structrued files tova milo , serge abiteboul , sophie cluet",,vldb j.,1998.0
29,"dbglobe : a service-oriented p2p system for global computing evaggelia pitoura , serge abiteboul , michalis vazirgiannis , dieter pfoser , george samaras sigmod record",,,2003.0
30,database patchwork on the internet,"reinhard braumandl , alfons kemper , donald kossmann",sigmod conference,1999.0
31,scientific databases-  state of the art and future directions vldb,"yannis e. ioannidis , marai zemankova",,1994.0
32,a generic approach to bulk loadingm ultidimensional index structures vldb,"bernhard seeger , peter widamyer , jochen van den bercken",,1997.0
33,"data bubbles for non-vector data : speeding-up hierarchical clustering in arbitrary metric spaces jörg sander , jianjun zhou",,vldb,2003.0
34,efficient snapshot differentialalgorithms for data warehousing,"hector garcJa&-molina , wilburt labio",vldb,1996.0
35,"integrating triggers and declarative constraints in sql database sytems roberta cochrane , hamid pirahesh , nelson mendonça mattos",,vldb,1996.0
36,efficient ir-style keyword search over relational databases,"yannis papakonstantinou , luis gravano , vagelis hristidis",vldb,2003.0
37,"indexing of now-relative spatiob-iteIporal data simonas saltenis , christian s. jensen",,vldb j.,2002.0
38,"temporal coalescing with now , granularity , and Qncomplete information sigmod conference",curtis e} dyOreson,,2003.0
39,database research at ut arlington sigmod record 2003,"sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh",,
40,why decision support fails and how to fix it sigmod record 1995,"kevin strehlo , ralph kimball",,
41,a low-cost stroage server for movie on demand databases 1994,"alexandros biliris , banu özen , abraham silberschatz , rajeev rastogi",vldb,
42,generating call-level interfaces for advanced database application programming vldb,"theo härder , norbert ritter , udo nink",,1999.0
43,"clustering by pattern similarity in large data sets haixun wang , wei wang , philip s. yu , jiong yang 2002",,sigmod conference,
44,mocha : a database middleware system featuring automatic deployment of application-specific functionality,"manuel rodriguez-mrtinez , joseph jájá , john m. mcgann , nick rousopoulos , zhexuan song , stephen kelley , vadim katz",sigmod conference,2000.0
45,"fact : a learning based web query processing system zengping( tian , hongjun lu , yanlei diao , songting chen 2000",,sigmod conference,
46,sql multimedia and application packRges ( sql/mm ) sigmod record 2001,"jim melton %# andrew eisenberg",,
47,bellcore 's adapt/x harness system for managing information on internet and intranets amit p. sheth vldb 1996,,,
48,xml data management go native or spruce up relational systems ? ( panel abstract ) per-åke larson,,sigmod conference,2001.0
49,"an overview of data warehousing and olap technology surajit chaudhuri , umeshwar dayal",,sigmod record,1997.0
50,staggered striping in multmedia@ information systems 1994,"steven berson , richard r. muntz , shahram ghandehrizadeh , xiangyu ju",sigmod conference,
51,multimedia streaming in larg-scale sensor networks with=mobile swarms sigmod record,"mario gErla , kaixin xu",,2003.0
52,how to modify sql queriIes in order to guarantee sure answers,hans-jRoachi klein,sigmod record,1994.0
53,materialization : a owerful and Kubiquitous abstraction pattern vldb,"alain pirotte , eteban zimány , tatiana yakusheva , david massart",,1994.0
54,"dynamic content acceleration : a caching solution to enable scalable dynamic web page generation debra e. vandermeer , krithi ramamritham , helen m. thomas , anindya datta , kaushik dutta 2001",,sigmod conference,
55,data modelling in the large,martin bertram,sigmod record,1994.0
56,updating xml,"daniel s. weld , zachary g. ives , igor tatarinov , alon y. halevy",sigmod conference,2001.0
57,"research in information managment at dublin ciZy university alan f. smeaton , mark roantree sigmod record 2002",,,
58,the multidimensional database system rasdaman,"andreas dehmel , peter baumann , norbert widmann , roland ritsch , paula furtado",sigmod conference,1998.0
59,"analyzing energy behavior of spatial access methods for memory-resident data anand sivasubramaniam , sudhanva gurumurthi , narayanan vijaykrishnan , ning an , mary jane irwin , mahmut t. kandemir vldb",,,2001.0
60,the value of merge-join and hash-join in sql server vldb,goetz graefe,,1999.0
61,efficient execution of joins in a star schema sigmod conference,andreas weininger,,2002.0
62,picodmbs : scaling down database techniques for the smartcard,"luc bouganim , patrick valduriez , philippe pucheral , christophe bobineau",vldb,2000.0
63,multi-dimensional substring seleLtivity estimation vldb,"divesh srivastav , olga kapitskaia , raymond t. ng , h. v. jagadish",,1999.0
64,"the intrinsic problems of structural heterogeneity and na approach to their solution~theo härder , joachim thomas , günter sauter",,vldb j.,1999.0
65,a database perspective on lotus domino/notes,c. mohan,sigmod conference,1999.0
66,"domains , relations and religious war Orafael camps sigmod record",,,1996.0
67,the data-centric revolution@in networkign 2003,scottshenker,vldb,
68,"cache-and-query for wide area sensor databases phillip b. gibbons , srinivasan seshan , suman kumar nath , amol deshpande sigmod conference",,,2003.0
69,"a cost model for clustered object-oriented databases zhao-hui tang , jean-robert gruser , georges gardarin vldb 1995",,,
70,expiring data in a warehouse vldb,"wilburt labio , jun yang , hector garcia-molina",,1998.0
71,opportunities in infoWrmation managemEent and assurance xiaolei qian sigmod record,,,1997.0
72,"finding data in the neighborhood andré eickler , afons kKemper , donald kossmann vldb",,,1997.0
73,prefer : a system for the efficient execution of multi-parametric ranked queries sigmod conference,"yannis papakonstantinou , vagelis hristidis , nick koudas",,2001.0
74,editoD !s notes,lin liu,sigmod record,2002.0
75,rainbow : mapping-driven xquery processing system sigmod conference,"mukesh mulchandani , elke a. rundensteiner , xin zhang , brian murphy , steffen christ",,2002.0
76,algebraic query optimisation for database programming languages vldb j.,"carol small , alexandra poulovassilis",,1996.0
77,static analysis techYniques for predictinJg the behavior of active database rules,"alexander aiken , jQnnifer wiodm , joseph m. hellerstein",acm trans . database syst .,1995.0
78,"the ores temporal database management system babis theodoulidis , george karvelis , jayantc haudhary , aziz ait-braham , simno sou , george andrianopoulos sigmod conference",,,1994.0
79,"magic conditions hamid pirahesh , inderpal singh mumick , raghu raHakrishnan , sheldon j. finkelstein 1996",,acm trans . database syst .,
80,l/mrp : a buffer management strategy foU interactive continuous data flows in a multimedia dbms 1995,"wolfgang klas , frank mKoser , achim kraiss",vldb,
81,"ubiquitous , self-tuning , scalable servers peter m. spiro sigmod conference",,,1998.0
82,explaining differences in multidimensional aggregates sunita sarawagi vldb,,,1999.0
83,"a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system kun-lung wu , philip s. yu , james z. teng , jen-yao chung 1995",,vldb,
84,database in crisis and transition : a^tcehnical agenda for the year 2001 sigmod conference,david vaskvitch,,1994.0
85,"workflow automation : applications , technology , and research ( tutorial ) amit p. sheth 1995",,sigmod conference,
86,"workshop on performance aTd architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 ) krishna kant , prasant mohapatra sigmod record",,,2000.0
87,E scalable algorithm for answering queries using views,"rachel pottinTger ,= alon y. levy",vldb,2000.0
88,why i like working in acadeima richard t. snodgrass sigmod reBord,,,2002.0
89,efficient nad tunabe similar set retrieval,"dimitrios gunopulos , aistides gionis , nick koudas",sigmod conference,2001.0
90,fast and accurate text classification via multiple lnear discriminant projections 2002,"mahesh v. soundalgekar , soumenc hakrabarti , shourya roy",vldb,
91,"business process coordination : state of the art , trends , and open issues meichun hsu , rivka ladin , umeshwar dayal",,vldb,2001.0
92,work and information practices in the sciences oFf biodiversity geoffrey c. bowker 2000,,vldb,
93,"data modeling of time-based media simon j. gibbs , christian breiteneder , dennis tsichritzis sigmod conference 1994",,,
94,space optimization in deductive dNatabases acm tranVs . database syst . 1995,"s. sudarshan , divesh srivastava` , raghu ramakrishnan &, jeffrey f. naughton",,
95,chair 's message,richard t. snodgrass,sigmod record,2000.0
96,trade press news -* announcement nd preface 1994,rafaYNl alonso,sigmod record,
97,improving Mindex performance through prefetching,"shimin chen , Otodd c. mLwry , phillip b. gibbons",sigmod conference,2001.0
98,new programs at darJa and nsf sigmod record,xiaolie qian,,1996.0
99,investigation of algebraic query optimisation techniques for database programming languages,"alexandra poulovassilis , carol small",vldb,1994.0
100,"physical data independence , constraints , and optimization with universal plans lucian popa , alin deutsch , val tannen 1999",,vldb,
101,an adaptive query exection system for data integraSion,"daniel s. weld , alon y.`levy ,#marc friedman , zachary g. ives , daniela florescu",sigmod conference,1999.0
102,the semantic web paving the way to the knowledge society pierre-paul sondag vldb,,,2001.0
103,"parallel algorithms for high-dimensional similarity joins for data mining applications rakesh agrawal , john c. shafer vldb 1997",,,
104,path sharing and predicate evaluation for high-performance xml filtering acm trans . database syst .,"yanlei diao , hao zhang , peter m. fischer , michael j. franklin , mehmet altinel",,2003.0
105,"processing set expressions over continuous update streams sumit ganguly , minos n. garofalakis , rajeev rastogi 2003",,sigmod conference,
106,performance measurements of cJomprFessed bitmap indices,theoodrejohnson,vldb,1999.0
107,hierarchical prefix cubes ofr raCge-sum queries vldb 1999,"chee yong cha n, yMnnis e. ioannidis",,
108,removing permissions in teh flexible authorCzation framework acm trans . database syst .,"åsa hagström , duminda wijesekea , francesco parisi-presicce , sushil jajodia",,2003.0
109,ariadne : a system for constructing mediators for internet sources 1998,"ion muslea , greg barish , andrew philpot , craig a. knoblock , steven minton , josé luis ambite , pragnesh jay modi , sheila tejada , naveen ashish",sigmod conference,
110,multiway spatial joins,"dimitris papadias , nikos mamoulis",acm trans . database syst .,2001.0
111,implementing data cubes eHfMiciently sigmod conference 1996,"anand rajaraman  jeffrey d. ullman , venky harinarayan",,
112,"recent design trade-offs in sql3 nelson emndonça mattos , linda g. demichiel",,sigmod record,1994.0
113,"sqlj-part 1 : sql routines using the java programming language andrew eisenberg , jim melton sigmod record 1999",,,
114,"similarity-based queries for time series_ daZta alberto o. mendelzon , davood rafiei sigmod conference",,,1997.0
115,"a distributed scientific data archive using the web , xml and sql/med alistair n. dunlop , jasmin l. wason , denis a. nicole , mark papiani 1999",,sigmod record,
116,viator - a tool family for graphical networking and data view creation vldb 2002,"katja tham , axel kilian , dieter merkel , peter rieger , stephan heymann , gunnar wegner , johann christoph freytag",,
117,information warfare and security|- book review h. v. jagadish sigmod record 2001,,,
118,the persistent cache : improving oid indexing in temporal object-oriented database systems kjetil nørvåg vldb 1999,,,
119,"estimating the selectivity of spatial queries using the ` correlation ' fractal dimension christos faloutsos , alberto belussi 1995",,vldb,
120,semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution vldb j.,"dennis mcleod , goksel aslan",,1999.0
121,"performance evaluation of a new distributed deadlock detection algorithm chim-fu yeung , kam-yiu lam , sheung-lun hung sigmod record 1994",,,
122,sql and management of exernal dat sigmod record 2001,"jan-eike michels , jim melton , krishna g. kukarni , peter m. schwarz , kathy zeidenstein , vanja josifovski",,
123,"aquery : query lnaguage for ordered data , optimizaYtion techniques , and experiments alberto lerner , dennis shasha vldb 2003",,,
124,"resource scheduling in enhanced pay,per-view continuous media daRtabases banu özden , minos n. garofalakis , abraham silberschatz",,vldb,1997.0
125,review : a real time virtual walkthrough system sigmod conference 2001,"yixin ruan , zhiyong huang , kian-lee tan , jason chionh , lidan shou",,
126,"a modified random perturbation method fLr database security norman s. matloff , patrick tendick 1994",,acm trans . database syst .,
127,managing web data dan suciu sigmod conference 1999,,,
128,loading the data warehouse across various paaPllel architectures vldb 1996,vijay .v raghavan,,
129,hodfa : an architectural framework for homogenizing heterogeneous legacy database 1995,"qing li , kamalakar karlapalem , chung-dak shum",sigmod record,
130,"database tuning : principles , experiments , and troubleshooting techniques philippe bonnet , dennis shasha vldb 2002",,,
131,"reminiscences an influential papers jeffrey f. naughton , minos n. garofalakis , kenneth a. ross",,sigmod record,2003.0
132,application of oodb and sgml techniques in teBxt dFtabase : an electronic dictionary system jian zhang sigmod record 1995,,,
133,java and relational databases / sqlj ( tutorial ) sigmod conference 1998,"johannes klein , richard plederedr , gray clossman , brian bceker , phil shaw , mark hapner",,
134,covering indexes for branching/ path queries sigmod conference,"raghav kaushik , henry f. korth , jeffrey f(. naughton , philip bohannon",,2002.0
135,semint : a system prototype for sematic integration in heterogeneous databases,"wen-syan li , chis clifton",sigmod conference,1995.0
136,"career-enhancing services at sigmod online alexandros labrinidis , alberto o. mendelzon 2001",,sigmod record,
137,"revisiting commit processing in distributed database systems krithi ramamrithaMm , jayant r. haritsa , ramesh gupta sigmod conference",,,1997.0
138,type-checking oql queries in th eodmg type systems suad alagic 1999,,acm trans . database syst .,
139,things every update replication customer should know,rob golding,sigmod conference,1995.0
140,in memory of gísli r. hjaltason,björn þór jónsson,sigmod record,2003.0
141,query optimization by pIrdicate move-around,"inderpal singh mumick ~ aZon y. levy , yehoshua sagiv",vldb,1994.0
142,"catching the boat with strudel : experiences with a web-site management system jaewoo kang , dan suciu , alon y. levy , daniela florescu , mary f. fernandez",,sigmod conference,1998.0
143,adaptable query optmiizatHion and evaluation in temporal middleware 2001,"christian s. jensen , richardt . snodgrass , giedriuss livinskas",sigmod conference,
144,"birch : an efficient data clustering method for very large databases raghu ramakrishnan , miron livny , tian zhang",,sigmod conference,1996.0
145,time-parameterize queries in Zpatio-temporal databases,"dimitris papadias, yufei tao",sigmod conference,2002.0
146,"scalable parallel data mining for association rules eui-hong han , vipin kumar , george karypis",,sigmod conference,1997.0
147,"an algebraic approach to static analCsis of active database rules jennifer wdiom , elena baralis 2000",,acm trans . database syst .,
148,"os support for vldbs : unix enhancements for the etradata data base sorana rabinovici , john catozzi",,vldb,1995.0
149,"dwarf : shrinking the petacube yannis kotidis , yannis sismaniVs , antonios deligiannakis( , nick roussopoulos sigmod conference",,,2002.0
150,thinksheet : a tool for tailoring complex docments sigmod conference,"dao-i lin , peterpiatko , roman yaLgarber , dennis shasha",,1996.0
151,"on-line reorganization of sparsely-populated b + trees betty salzberg , chendong zou 1996",,sigmod conference,
152,handling very large databases with informix extended parallel server andreas weinnger 2000,,sigmod conference,
153,"including group-by in queryoptimzation surajit chaudhuri , kyuseok shim vldb",,,1994.0
154,value-cognizant Rspeculatvie concurrency control vldb 1995,"azer bestavros , spyridon brKaoudakis",,
155,data mining : practical machine learning tools and techniques - book review sigmod record 2002,james geller,,
156,report on the 8th international workshop on knowledger epresentation meets databases ( krdb ) 2001,"dan suciu , maurizio lenzeFini , daniele nardi , werner nutt",sigmod record,
157,"starts : stanford proposal for internet meta-searching ( experience paper ) hector garcia-molina , luis gravano , kevin chen-chuan chang , andreas paepcke sigmod conference",,,1997.0
158,the x-tree : an index structFre for high-dimensional data 1996,"hans-peter kriegel ,;stefan berchtold , daniel a. keim",vldb,
159,eliminating fuzzy duplicates in data warehouses vldb,"rohit ananthakrishna , venkatesh ganti , surajit chaudhuri",,2002.0
160,a database striptease or how to manage your personal databases vldb 2003,"michael j. franklin , surajit chaudhuri , alejandro p. buchmann , gerhard weikum , daniel a. keim , martin l. kersten",,
161,an ebxml infrastructure implementatino through uTdi registries and rosettanet pips,"yildiray kabak , gokce laelci , sait pektas , serkan toprak , yusuf tambag , gokhan kurt , asuman dogac , pinar pembecioglu",sigmod conference,2002.0
162,temporal database system implementations michael h: böhlen 1995,,sigmod record,
163,"xsearch : a semantic search engine for xml yaron anza , yehoshua sagiv , sara cohen , jonathan mamou vldb",,,2003.0
164,opossum : desk-top schema management through customizable visualization vldb 1995,"miron livny , eben m. haber , yannis e. ioannidis",,
165,"atomicity and isolation for transactional processes hans-jörg schek , gustavo alonso , heiko schuldt , catriel beeri 2002",,acm trans . database syst .,
166,logical logging to extend recovery to new domans sigmod conference 1999,"david b. lomeQ ,mark r. tuttle",,
167,"the impress ddt : a database design toobox_ based on a formal specification language jacek skowronek , maurice van keulen , jan flokstra",,sigmod conference,1994.0
168,online aggregation,"helen j. wang , peter j. haas , joseph m. hellerstein",sigmod conference,1997.0
169,"semi-automatic , self-adaptive control of garbage collection rates in object databases sigmod conference","artur klauser , alexander l. wolf , benjamin g. zorn , jonathan e. cook",,1996.0
170,a single pass computing Yengnie for interactive analysis of vldbs 1998,ted mihaYlisin,vldb,
171,fast nearest neighbor search in medical image databases,"zenon protopapas , christos faloutsos , eliot siegel , flip korn , nikolaos sidiropoulos",vldb,1996.0
172,metadata for digital media : introduction to) the special issue sigmod record,"amit p sheth , wlofgang klas",,1994.0
173,"in reply to domains , relations#and relgious wars hugh darwen 1996",,sigmod record,
174,bank of america case study : te informaOtion currency advantage,"Tmark jahnke , felipe cariño",vldb,1998.0
175,tree pattern query minimization,"divesh srivastava , sungran cho , laks v. s. lakshmanan , sihem amer-yahia",vldb j.,2002.0
176,fine-grained sharing in a page server oodbms sigmod conference 19945,"michael j. carey , markos zaharioudakis ,* michael j. franklin",,
177,adept : an agent-based approach tS business process management,"timothy j. norman , nichoas r. jennings , peymQn faratin",sigmod record,1998.0
178,introduction to the career forum column 2001,alexandros labrinidis,sigmod record,
179,"image mining in iris : integrated retinal information/ system kheng guna goh , wynne hsu , mong-li lee 2000",,sigmod conference,
180,enterprise information arhcitectures -- they 're finally changing 1994,wesBy p. melling,sigmod conference,
181,integrating informaton for on demZnd computing nelson mendonça mattos vldb,,,2003.0
182,"thémis : a database programming language handling intergity constraints anne douet , véronique benzaken vldb j. 1995",,,
183,an introduction to deductive database languages and systems,"kotagiri ramamohanarao , james harland",vldb j.,1994.0
184,information management challenges from the aerospace industry suryanarayana m. sripada vldb,,,2002.0
185,state of the art in workflow management research and products c. mohan sigmod conference,,,1996.0
186,"videoanywhere : a system for searching and managing distributed video assets amit p. sheth , kshitij shah , clemens bertram sigmod record",,,1999.0
187,"phoenix project : fault-tolerant applications roger s. barga , Edavid b. lomet sigmod record 2002",,,
188,"cluster validity methods : par i michalis vazirgiannis , yannis batistakis , maria halkidi 2002",,sigmod record,
189,directv and oracle rdb : the challenges of vldb transcation processing 1995,william@G. gettys,sigmod conference,
190,ensuring relaxed atomicity for flexible traKsactions in multidatabase systems sigmod conference 1994,"bharat k. bhargava , aidKng zhang , marian h. nodine , omran a. bukhres",,
191,"replication , consistency , and practicality : are these mutually exclusive ? avishai wool , henry f. korth , yuri breitbart , todd a. anderson",,sigmod conference,1998.0
192,a-topss - a publish/subscirbe system suTporting approximate matching,"hans-arnX jaobsen , haifeng liu",vldb,2002.0
193,searching in metric spaces with user-defined and approximate distances,"marco patella , paolo ciaccia",acm trans . database syst .,2002.0
194,"algorithms for deferred view maintenance leonid libkin , inderpal singh mumick , latha s. colby , howard trickey , timothygriffin sigmod conference",,,1996.0
195,"design and development of a stream service in a heterogenous client environment stavros:christodoulakis , nikos ppapas vldb 2000",,,
196,"cougar : the network is the database wai fu fung , david sun , johannes gehrke sigmod conference",,,2002.0
197,"the data that you wo n't Hfind in databTases : tutorial panel on data exchange formats david maier , peter buneman sigmod conference",,,1995.0
198,"effective timestamping in databases chrisitan s. jensen , krisitan torp , richard t. snodgrass vldb j. 2000",,,
199,silkroute : a framework for publihing relational data iIn xml acm trans . database syst .,"dan suciu , yana kdiyska , wang chiew tan , mary f. fernandez , atsuyuki morishima",,2002.0
200,"the tpr * - tree : an optimized spatio-temporal access method for predictive queries dimitris papadias , jimeng sun , yufei tao",,vldb,2003.0
201,editor 's notes 1996,jennifer widom,sigmod record,
202,"mapping adaptation under evolving schemas yannis velegrakis , lucian popa , renée j. miller 2003",,vldb,
203,the nd-tree : a dynamic indexing technique for multidimensional non-ordered discrete data spaces vldb 2003,"gang qian , qiang xue , sakti pramanik , qiang zhu",,
204,transactional publish / subscribe. : the proactive multicast of database changes,arvola cahn,sigmod conference,1998.0
205,"exploiting constraint-like data characterizations in query optimization jarek gryz , calisto zuzarte , parke godfrey 2001",,sigmod conference,
206,metu interoperable database sytem sigmod conference,"sema mancuhan , ismailcem budak arpinar , fatma ozcan , piar koksal , asuman dogac , gökhan özhan , cevdet dengi , ugur halici , cem evrendilek , sena nural , ebru kilic",,1996.0
207,"clustering techniques for minimizing external path length a. a. diwan , s. sudarshan , sanjeeva rane , s. seshadri vldb",,,1996.0
208,the national medical knowledge bank warren sterling 1998,,vldb,
209,guest deitoriXl vldb j. 2003,"vijay atluri , aMupam joshi , yelena yeVsha",,
210,report on fqas 2002 : fifth international conferencUe on flexible query answering systems 2003,"amihaI motro , troels andreasen",sigmod record,
211,an automated system for web portal personalization vldb 2002,"philip s. yu , charu c. aggarwal",,
212,webfilter : a high-throughput xml-based publish and subscribe system vldb 2001,"françoise fabret , dennis shasha , hans-arno jacobsen , françois llirbat , joão pereira",,
213,"ogdi : toward interoperability among geospatial databases denis gouin , henry kucera , christian larouche , gilles clement , paul morin",,sigmod record,1997.0
214,editor 's noTes michael j. franklin 2000,,sigmod record,
215,"dimensionality reduction for similarity searching in dynamic databases ambuj k. singh , kothuri venkata ravi kanth , divyakant agrawal sigmod conference",,,1998.0
216,"push technology personalization through event correlation asaf adi , david botzer , tali yatzkar-haham , opher etzion",,vldb,2000.0
217,oracle industrial exhibit 1998,amy pogue,vldb,
218,a one-pass algorithm for accurately estimating quanUiles for disk-resident data vldb,"khaled alsabti ,v ineet singh , sanjay ranka",,1997.0
219,editor 's notes sigmod record 2001,ling liu,,
220,translating wRb ata vldb 2002,"renée j. miller , ronald fagin , yannis velegrakis , Kmauricio a. hernández , lucian popa",,
221,repository system engineering philip a. bernstein,,sigmod conference,1996.0
222,"sigmod sister societies z. meral özsoyoglu , stefano ceri , victor vianu , masaru kitsuregawa , leonid . kalinichenko , hongjun lu , richard t. snodgrass sigmod record",,,2000.0
223,"semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems michael gertz , can türker vldb j. 2001",,,
224,"adaptable pointer swizzling strategies in object bases : design , realization , and quantitative analysis alfons kemper , donald kossmann vldb j.",,,1995.0
225,implementing xquer ypaul cotton sigmod conference,,,2002.0
226,mining surprising paLterns using temporal description length vldb,"soumen chakrabarti , byron doG -, sunita sarawagi",,1998.0
227,"continually evaluating similarity-based pattern queries on a streaming time series like gao , xiaoyang sean wang sigmod conference 2002",,,
228,efficient approximation of optimization queries under parametric aggregation constraints,"dimitrios gunopulos , nick koudas , divesh srivastava , michail vlachos , sudipto guha",vldb,2003.0
