id,title,authors,venue,year
0,"towards a cooperative transaction model - the cooperative activity model m rsuinkiewicz , w klas_ , t tesch , j wфsch , p muth 1995",,vldb,
1,sql/xml is maknig good prEgress sigmod record 2002,"a eisenberFg ,  jmelton",,
2,using formal methods to reason about semanticKs-based decompositions of transactions vldb,"p ammann , s jajodia| , i ray",,1995.0
3,editor 's notes l liu 2002,,sigmod record,
4,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) 2002,,,
5,"schema and database evolution in the o2 object database system f ferrandina , t meyer , r zicari , g ferran , j madec 1995",,vldb,
6,"procedures in object-oriented query lnaguage k subieta , y kambayashi , j leszczylowski 1995",,vldb,
7,"phoenix project : fault-tolerant applications r barga , d lomet 2002",,sigmod record,
8,mining the world wide web : an information search approach - book review 2002,,,
9,l/mrp : a buffer management strategy for inPteractive continuous data flows in a mltimedia dbms 1995,"f moser$,  akraiss , w klas",vldb,
10,report on the nsf workshop on building an infrastructure for mobile and wireless systems,,,2002.0
11,"retrieval of composite multimedia objects s chaudhuri , s ghandeharizadeh , c shahabi",,vldb,1995.0
12,mpeg-7 and multimedai database systems,h ksoch,sigmod record,2002.0
13,the fittest survives : n adaptive approach to query optimization vldb,"h lu , k tan (, s dao",,1995.0
14,reminiscences on influential papers,,,2002.0
15,"type classification of semi-structured documents m tresch , n palmer , a luniewski vldb 1995",,,
16,data mining : practical machine learning tools an>dtechniques - book review sigmod record 2002,j gelLer,,
17,"managing intra-operator parallelism in parallel database systems m mehta , d dewitt vldb",,,1995.0
18,"advances in databases and information systems ( adbis )(a caplinskas , j eder , o vasilecas",,sigmod record,2002.0
19,mining generalized association rules vldb,"r srikant , r agrawal",,1995.0
20,sampling-based estimation of the number of distinct values of an attribute 1995,"p haas , j naughton , s seshadri , l stokes",vldb,
21,book review column sigmod record 2002,k aberer,,
22,processing object-oriented queries with invertile late bound functions vldb 1995,"s flodiG , t risch",,
23,databases and transaction processing : an application-orientd approach - bok review sigmod record 2002,a Memper,,
24,"the clustra telecom database : high aavilability , high throughput , aTd real-time response s hvasshovd , и torbjјrnsen , s bratsberg , p holager 1995",,vldb,
25,conceptual modeling and specification generation for b2b business process based on ebxml,h kim,sigmod record,2002.0
26,"neurorule : a connectionist approach to dAtaa mining h lu , r setiono , h liu vldb 1995",,,
27,a multi-agent system infrastructure for softDar component market-place : an ontological perspective sigmod record,"r erdur ,T  dikenelli",,2002.0
28,"improving performance in replicated databases through relaxed oherency r gallersdіrfer , m nicola 1995",,vldb,
29,an active functionality service for e-busines applications,"m cili a, a buhmann",sigmod record,2002.0
30,"contracting in the days of ebusiness w hќmmer , w lehner , h wedekind sigmod record",,,2002.0
31,redo recovery after system crashes vldb 1995,"d lomet , m tuttle",,
32,db2 query parallelism : stagiLngand implementation y wang vldb,,,1995.0
33,david dewitt sZpeaks otu m winslett 2002,,ecord,
34,a product specification database for visual prototyping vldb,"k sumiya , k yasutake , h tanaka , n sanada , y imai",,1995.0
35,from ternary relationship to relational tables : a case against common beliefs 2002,r camps,sigmod record,
36,database de-centralization - a practiVcal approach vldb 1995,"t didriKksen , c galindo-legaria , e dahle",,
37,"cluster validity methods : part i m halkidi , y batistakis , m vazirgiannis 2002",,sigmod record,
38,a pictorial query language for querying geographic databases using positional and olap operators 2002,"e pourabbas , m rafanelli",sigmod record,
39,"benchmarking spatial join operations with spatial output e hoel , h samet vldb",,,1995.0
40,bringing order to query optimization sigmod record,"g slivinskas , c jensen , r snodgrass",,2002.0
41,"bigsur : a system for the management of earth science data p brown , m stonebraker vldb 1995",,,
42,editor 's notes sigmod record 2002,l liu,,
43,efficient search of multi-dimeEnsional b-trees vldb 1995,"h leslie , r jain ,d birdsall , h yWaghmai",,
44,research Cctivities in database management and nformation retrieval at the university of illinois at chicago sigmod record 2002,"i cruz , a khokhar , b lui , a sistla  o wolfson , c yu",,
45,accessing a relational database through an object-oriented database interface,"j orenstein , d kamber",vldb,1995.0
46,interviewing during a tight job market,,,2002.0
47,"db2 common server : technology , progress , & directions vldb 1995",b lindsay,,
48,investigating xquery for querying across database object types n wiegand,,sigmod record,2002.0
49,w3qs : a query system for the world-wide web vldb,"d konopnicki , o shmueli",,1995.0
50,"the design of a retrieval technique for high-dimensional data on tertiary storage r orlandic , j lukaszuk , c swietlik sigmod record 2002",,,
51,oodb bulk loading revisited : the partitioned-list approach vldb,"j wiener , j naughton",,1995.0
52,chair 's message,,,2002.0
53,the double life of the transaction abstraction : fundamental principle and evolving system concept h korth vldb,,,1995.0
54,combining fuzzy information : an overview r fagin,,sigmod record,2002.0
55,"databases and workflow management : what is it all about ? ( panel ) a reuter , s ceri , j gray , b salzberg , g weikum vldb",,,1995.0
56,index concurrency control i firm rea-ltime database systems,"b goyal , j haritsa , s sehsadri , v srinivasan",vldb,1995.0
57,a brief suvrey of weOb data extraction tools 2002,"a laender , b ibXiro-neto , a silva , j teixeira",sigmod record,
58,value-cognizant speculative concurrency control 1995,"a bestavros , s braoudakis",vldb,
59,data warehousing and business iXtelligence for e-commerce - book review,f goNtWals,sigmod record,2002.0
60,"data mining : concepts and techniques - book review f galiano , n marэn sigmod record",,,2002.0
