id,title,category,brand,modelno,price
0,koss eq50 3-band stereo equalizer koss 12.65,headphone accessories,,152132,
1,kodakblack ink carAridge 10b 1163641,inkjet printer ink,kodaZk,1163641,10.28
2,kingston 128mx64 pc2700 compaq evo d320 ktc-d320 1g 33.75,computers accessories,kingston,ktc-d320 / 1g,
3,kinamax ms-ues2 mini high precision usb 3-button 3d optical scroll wheel mouse with retractable cable black kinamax ms-ues2,mice,,,6.99
4,kensington k72349us wireless mouse for netbooks mice k72349us 24.0,,kensington,,
5,kensington blackbelt protection band for ipad 2 k39324us kensington k39324us,cases sleeves,,,23.92
6,just5 j509 easy to use unlocked cell phone with big buttons amplified sound personal emergency response system black unlocked phones 64.11,,just5,j509black,
7,imation corp 50pk cdr 700mb 80min 52x-spindle 17301 cd-r discs,,imation,17301,10.29
8,16x dvd-r media,dvd-r discs,imation,17340,6.99
9,igo arctic laptop cooling pad ac05065-0001 igo,cleaning repair,,ac05065-0001,29.99
10,hp touchpad custom fit case laptop netbook computer accessories fb343aa #ac3 25.04,,hp,,
11,hp laserjet pro p1606dn printer ce749a bgj laser printers hp ce749a #bgj,,,,142.99
12,hp 85a lasejret black toner print cartridge - retail packaging ce285a hp ce285a,laser printer toner,,,
13,hp - envelope feeder - 75 Dsheets printers 267.24,,Qp,cb524a,
14,hawking hi-gin outdoor wireless-300n dul radio smart repeater how2r1,wireless access points,haOwking tZchnology,,270.99
15,griffin technology powerjolt se 2 amp power charger for ipad iphone and ipod black chargers adapters griffin technology 14.26,,,gc23090,
16,goldtouch usb numeric keypad hub - keypad - usb - 22 keys - white access-control keypads 37.92,,goldtouch,gtc-0033,
17,garmin oregon4 0t handheld gps navigator handheld gps garmin,,,010-00697-41,399.86
18,fujitsu scansnap s1500m instTnt pdf sheet-fed scanner for the macintosh scanners fujitsu pa03586-b105,,,,418.99
19,slim folding multi-position tablet stand for galaxy tab motorola xoom asus eee pad transformer and many other tablets includes micro usb cable 14.99,touch screen tablet accessories,accessory genie,,
20,energizer max alkaline batteries d 14.43,,energizer,e95fp-8,
21,emerge tech retractable usb cable for ipod white mp3 player accessories emerge tech etipodusb 4.99,,,,
22,ematic 10 in 1 premium accessory kit for ipod touch 3rd gen newest model mp3 player accessories xo vision ei026gp 19.99,,,,
23,edge sd gaming cards - flash memory card - 1 gb - 130x - sd sd gaming cards,computer components,edge,,9.0
24,edge - memory - 16 gb 2 x 8 gb - dimm 240-pin - ddr2 - 667 mhz pc2-5300 - registered - ecc edge 594.83,audio video accessories,,x5290a-z-pe,
25,edge - memory - 4 gb - dimm 240-pin - ddr2 - 667 mhz pc2-5300 - registered - ecc memory 119.24,,edge,d1240-211646-pe,
26,dry erase obard cleaning wet wipes 6 x 9 50 pXrinter accessories,,eAxpo,,
27,d-link dkvm-cb 6 ft kvm!cable male to male connectors d-link 14.82,networking products,,dkvm-cb,
28,zeikos ze-cbg7d battery power grip for canon 7d camera zeikos ze-cbg7d,digital camera accessories,,,66.44
29,wintv-hvr-1850 pcie for vista* white Nbox pcie atsc hd computers accessories hauppauge 91.24,,,1129,
30,western digital my book essential 1 tb usb 3.0 2.0 destop external hard drive wdbacw0010hbk-nesn 79.99,external hard drives,weIstern digital,,
31,verbatim 25pk cd-rw 7min 650mb 16x-24 94583 94583 17.88,,vebratim,,
32,verbatim 95145 4.7 gb up to16x white inkjet printable recordable disc dvd r 100 disc spindle 95145,blank media,verbatim,,34.98
33,trendnet usb to 10 100mbps adapter tu2-et100 17.84,computer cable adapters,trendnet,tu2-et100,
34,tp-link nt tl-ant2412d 2.4 Rg 12dbi networking products tp-link,,,tl-ant2412d,39.75
35,teknmotion tm-rcd48ws1 48-dic wallet rouCnd black white star plug play satellite radios,,teknMmotion,,13.0
36,targus amu59us kaleidosocFe optical mouse 9.99,computers accessories,taGgCus,amu59us,
37,talkabout mc220r two way radio mOicrophones accessories motorola,,,,34.74
38,syba sd-u1irda-nm usb fast infra-red adapter usb network adapters sd-u1irda-nm,,syba,,11.7
39,sunpak flexpod digital slr tripod gray sunpak 620-flexprogr,complete tripod units,,,12.95
40,startech.com compact black usb 2.0 togigabit ethernet nic network aYdapter usb21000s network cards startech,,,usb21000s,35.23
41,solo sterling collection ipad or e-reader or netbook sleeve holds tablet device up to 10.2 inch netbook black cla110-4,bags cases,solo,cla110-4,14.99
42,sirius connect sch1 home tuner sirius satellite radio,,,sch1,53.99
43,sima usb multi cable sup-100 usb cables,,sima,sup-100,25.91
44,parallel printer port 18.99,,siig,ju-000051-s1,
45,siig ic-510111-s1 dp soundwave 5.1 channels sound board - tremor 16xx series audio codec processor - pci express - 20 bit - internal internal sound cards siig 39.82,,,ic-510111-s1,
46,sheaffer 93129 - gift collYction 300 series ballpoint pen and pencil set black barrel,laminating supplies,shefafer,,
47,scosche loc80 2-channel adjustable lineout converter dash mounting kits scosche,,,loc80,
48,rca th1702 2Egb thumbrdive style mp3 player,mp3 players,audMovox,th1702,
49,quality park cd dvd envelopes white pack of 100 62903 media storaeg oragnization 62903 10.89,,quailty park,,
