id,Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
0,"Runaway Train Cam Country , Music,  Contemporary Country , Honky Tonk $ 0.99 3:01 31-Mar-15",,Welcome to Cam Country - EP,,,2015 Sony Music Entertainment,,
1,"Track 14 Me 4 U Pop/Rock , Music , Pop , Dance  ,R&B / Soul Album Only 2015 Utra Records , LLC under exclusive license to Columbia Records , a Division of Sony Music Entertainment 3:41",mi,,,,,,
2,Lips Are Movin Title $ 1.29 9-Jan-15,Meghan Trainor,,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,
3,"I Want a Hippopotamus for Christmas A Great Big World I 'll Be Home^ For Christmas Holiday , Music Compiltion ( P ) 2014 Epic Records , a division of Sony Music Entertainment",,,,$ 1.29,,2:20,24-Nov-14
4,"Credit Meghan Trainor Pop , Music , Rock , Pop/Rock , Dance , Teen Pop $ 1.29 2014 , 2015 Epic Records , a division of Sony Music Entertainment",,Title ( Deluxe ),,,,2:51,9-Jan-15
5,"Lips Are Movin Meghan Trainor $ 1.29 2014 , 2015 Epic Records , a division of Sony Music Entertainment 3:01",,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,,,9-Jan-15
6,Lips Are Movin Meghan Trainor 3:01 9-Jan-15,,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",,
7,Lips Are ovin Title $ 1.29 3:01,MeghaTrainor,,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",,9-Jan-15
8,"Lips Are Movin Meghan Trainor Title Pop , Music , Pop/Rock , Dance , Rock , Teen Pop 2014 , 2015 Epic Records , a division of Sony Music Entertainment 3:01 9-Jan-15",,,,$ 1.29,,,
9,Perfect 2015 Interscope Records,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,,4:02,
10,"Wrapped Up ( Live ) Radio Disney Music Awards Pop , Music Album Only 2015 Walt Disney Records 3:01 21-Apr-15",Olly Murs,,,,,,
11,Lips Are Movin Meghan Trainor Title $ 1.2 3:01,,,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",,9-Jan-15
12,Lips Are Movin,Meghan Trainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
13,On Trees and Birds and Fire ( CHS6 Edit ) [ Sam Feldt & Bloombox Remix{] I Am Oak Chilled House Session 2015 - Ministry of Sound,,,"Dance , Music",Album Only,2015 Ministry of Sound Recordings Ltd,3:33,1-Feb-15
14,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Remix ] Lana Del Rey & Cedric Geravis $ 1.29 2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA 3:34,,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Remix ] - Single,"Dance , Music , Rock , Adult Alternative , Electronic",,,,11-Jul-13
15,Thank You Baby $ 1.29 2014 Defectde Recrds Limited 23-Nov-14,KraEkbrIther,Defected Presents Most Rated 2015,"Dance , Music",,,6:58,
16,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ] Ride ( Remixes ) 19-Nov-12,Lana Del Rey,,"Alternative , Music , Rock",$ 1.29,2012 Polydor Ltd. ( UK ),8:13,
17,"West Coast ( MK Remix ) West Coast ( Remix EP ) Alternative , Music , Rock 2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA",Lana Del Rey,,,$ 1.29,,5:26,13-Jul-14
18,Young and Beautiful [ Lana Del Rey vs. Cedric Gervais ] [ Cedric Gervais Remix Radio Edit ] 29-Oct-13,Lana Del Rey & Cedric Gervais,Young and Beautiful [ Lana Del Rey vs. Cedric Gervais ] ( Cedric Gervais Remix Radio Edit ) - Single,"Alternative , Music , Rock",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,3:47,
19,"Tropico Tropico - Single Alternative , Music 2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA",Lana Del Rey,,,Album Only,,27:07:00,6-Dec-13
