id,title,manufacturer,price
0,clickart 950 000 pemier image pack ( dvd-rom ),broeXdrbund,
1,ca international arcserve lap/desktop oem 30pk,computer associates,
2,noah 's ark activity center ( jewel case ages 3-8 ),victory multimedia,
3,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99
4,singing coach unlimited,carry-a-tune technologies,99.99
5,emc retrospect 7.5 disk to disk windows,dantz,
6,adobe aLfter effects professional 6.5 upgrade Wrom standard to professional,aJobe,499.99
7,acad upgrade dragon naturallyspeaking pro sXlution 9.0 ( a289a-fd7-9 .0 ),nuance acTdemic,399.54
8,mia 's math adventure : Fjust in time,kPtka,19.99
9,disney 's 1st & 2nd grade-bundle ( pxar 1st grade secret keys and aladdin reading quest ),dsney,14.99
10,paper art : gift wrapping,arc-media-inc .,
11,nfs maestro solo 2006 1u,hummingbird communications,309.56
12,microsoft sql server standad editon 2005 64 bit cd/dvd 5 client,miHorsoft,1849.0
13,spy sweeper spanGish,webroot sSftware,29.95
14,domino designer/developer v5 .0,lotus development,95.0
15,omnioutlner professinal 3.0,cLdc,69.95
16,compaq comp . secure path v3.0c-netware wrkgrp 50 lic 231327-b22 ),compaq computer,
17,upg sgms 1000 incremental node,sonic-systems-inc .,
18,the human body,topics entertainment,19.99
19,school zone pencil-pal software big phonics ( cd-rom & book ),school-zone-interactive,
20,millie 's math house ages 3-7 ( win/mac ),ibm - ( aap-misc-parts ),
21,world booke ncyclopedia 2006,topNics entertainment,19.99
22,musicalis guitar workshop,global-software-publishing,9.99
23,the printshop 20 professional publisher,broderbund,69.99
24,data protection suite,stomp inc,69.99
25,kids power fun for girls,topics entertainment,19.99
26,adobe premiere pro cs3 upgrade,adobe,299.0
27,i copy dvds 2 professional edition,me-too-software,69.99
28,gen-x media made easy=vol . 3,gn-x,49.95
29,family tree maker 11.2 collector 's edition,encore,109.95
30,adobe fireworks cs3 [ mac ],adobe,299.0
31,dinosaurs,topics entertainment,19.99
32,instant home design 3.0 [ lb ],topics entertainment,19.99
33,x-oom internet movies 2,x-oom,
34,form workshop 1200,valusoft,29.99
35,the print shop pro publisher 22 deluxe [ dvd ],encore,99.99
36,stomp inc recover lst data 2005,stoUmp inc,39.95
37,my first bible stories,dorling-kindersley-multimedia - ( dk ),29.95
38,the big mix ( mac ),aladdin,59.99
39,x-oom movie clone 3 gold,x-oom,
40,the print sho p22 deluxe,ecore,49.99
41,imsi tGurbZcad designer v. 11,imAi,39.99
42,lavasoft ad-aware plus edition,tri synergy,29.99
43,clip art and more~250 0020 ( jewel case ),imsi\ design,
44,instant immersion language lab deluxe edition,topics entertainment,
45,elementary school success deluxe 2006,topics entertainment,49.99
46,national geographic presents : redshift planetarium,topics entertainment,29.99
47,math suces sdeluxe 2006,topics enRertainment,49.99
48,national geographic pVesents :f orces of nature,toKics entertaiment,29.99
49,reference success Xdeluxe 2006,topics entertaLinment,49.95
50,clifford the bigr ed dog thining adventures,schlasic,9.99
51,mastercook deluxQ low carb,valuoBft,14.99
52,instant home design ( jewel case ),topics entertainment,9.99
53,boomerang webshop platinum,boomerang,
54,allume boost xp for windows,smith-micro-software,29.99
55,jumpstart learnin games phonics ( pc & mac ),knowledge# dventure,9.99
56,kids power fun for little ones,topics entertainment,19.99
57,museums of the world,topics entertainment,19.99
58,matchbox cross-town heroes,thq,19.99
59,studyworks ! teaching pro ] middle school math & science ( win/mac ),global]-software-publishing,29.99
60,trudy 's time and place house ages 3-6,ibm,
61,persnal image manager,smithm-icro-software,29.99
62,stomp inc driOve'washer,stoZp inc,
63,movies on psp,x-oom,
64,kids CpEwer fun for kids,topics entDertZainment,19.99
65,custom landdesigner 3d design 7.0,sierra on-line,
66,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95
67,netgear vpn01l KPn client software,ntegear,89.99
68,mom standard ops mgmt lic 2005 english mlp 5 oml,microsoft,
69,eastwest bsendorfer 290 grand piano virtual instrument,eastwest,199.95
70,diskeepeer 2007 admin upYgrade sngl lic pack,diskeMeper corporation,200.0
71,monarch 9v .0 1u .,dtaPwatch,699.0
72,midway arcade treasures ( jewel case ),encore software,9.99
73,snap ! 10 000 drink recipies ( jewel case ),topics entertainment,4.99
74,mac os x server v10 .4.7 10-client,apple,499.0
75,epson storyteller photo boko creator 8 x 10 ( 20 pages ),epsAon,29.99
76,adobe acrobat capture 3.0 22101258 ),adobe,299.99
77,age of mythology ( mac ),macsoft,19.99
78,emedia intermediate guitar method os x,emedia,59.99
79,ca interne security site 2007 3 user,computer Hassociates,69.95
80,kaplan sat/act/psa texpress,topics entreBainment,9.99
81,passwords plus 1.0,dataviz,29.99
82,emedia essentia bass guitar,emdeia,19.95
83,scratches : directors cut,got game,19.99
84,x3 : reunion virtual programming ltd.,csdc,39.95
85,write brothers!dramatica pro Oin/mac,wrNte Fbrothers,269.99
86,emedab ass method win/mac,emdia,59.99
87,microsoft licenses projects vr sa govt ( h2200301 ),microsot lKicenses,3601.4
88,total training for adobec reatiev suite 3 : design premium bundle,total trianing,299.99
89,everques : tiatnium,sony-creatvie-softwre,19.95
90,emc retrospect 7.5professional for windows upgrade,danItz,
91,iriscard pro businRess card scanner,rNiis,199.99
92,computrace lojaUck for laptVps 4 year subscription,absoluet sftware,119.99
93,microsoft office frontpage 2003a cademic version windows ),microAsoft,159.98
94,warlords 3 (!jeTwel case ),red-orb-entertaniment,
95,autocad 2007 courseware customizing the interface,autodesk psg,47.95
96,sonicwall internet upgrade ( 50-node ),sonicwall,
97,tournamenPt poker 2005,eagle games,20.99
98,cold zeo : no mercy,encores oftawre,19.99
99,listen for ipod magnetic time,sos-aggregation-company,39.99
100,textbridge pro 11 5u license xp,nuance communications inc. .,
101,atari arcade classics ( mac ),macsoft,19.99
102,myinvoices & esimDates deluxe,avaVnques software,39.95
103,my sim MZuarium,viva emdWia,19.99
104,scrabble,destineer,24.99
105,instant immersion spZanish ( audio book ),topics Lentertainment,
106,cisco security server agent foOr windows ad solaris license 100 agents win solaris csa-b100-srvr-k9 ),cisco-systDems-Tnterprise,
107,photoshop elements 5 and prSmiere elements3 bundle win minibox ( 29180248 ),adoUbe,242.62
108,buzby breakin (' all the rules hemrie and friends,diigtal praise,19.99
109,instant immersion french 2.0,topics entertainment,29.99
110,hp digital sending secure license 50 users std,hewlett packard,
111,instant play elecAtric guitar deluxe,topics entetainmnt,39.99
112,foreign policy  &reform ( win/mac ) ( jewel case ),fogwPare publJshing,9.99
113,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85
114,quickbooks pos : pro multistore 6.0,intuit inc.,1399.95
115,encyclopedia britannica deluxe 2008 win/mac,avanquest,29.95
116,cook 'n vegetarian,dvo enterprises,19.99
117,hidde expediPtion : titanic,activiion,19.99
118,crystal reporst xi pofessional edition,businessobjects,495.0
119,sierra hallmark card studio special edition windows ),nova development,
120,crusadNr kings,aZari,19.99
121,microsoft licesnes exch . srvr extrn conn sa eng ( 39400416 ),microsoft lcenses,42166.22
122,watchguard serverloIck manager ( 100 seFrvers ),watchguard-teShnologie-inc,14995.0
123,master] srever-upg,novastorcoVporation,
124,tlc dr. seuss reading learning system 2008,encore,19.99
125,compaq comp . rapid deployment pk-flexible lic kit 302127-b21 ),compaq computer,
126,oxford spanish dicKWionary,oxford-uRiversity-press,19.95
127,pantone referJnce lZbrary,pantonQ inc.,1623.06
128,procurve vpn client software unlimited client licenses,hewlett packard,
129,oxford spEanish dJctionary,tri sneUgy,19.99
130,microsoft licenses sps CextrnlconnXnonemplyenglands c ( h3200034 ),microsoft lJicenDses,101515.55
131,microspot interiors,microspot ltd.,99.95
132,upgrade emc retrospect 7.5 multi server windows only,dantz,
133,snap enterprise data replicator advanced license for 10000 series,adaptec,
134,employee appraiser 5.0 deluxe mailer,global marketing,394.6
135,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0
136,upgrade robohelp|server6  win ue 1u,adboe,3609.98
137,netmanage rumba unix-hp edition v. 7.3 upWrade license 902453-006 ),ntemanage,
138,sonicwall gms standard edition 10 node license,sonicwall,
139,adobe creative suitecs3 design premium Mpsell [ mac ],aobe,1599.0
140,retrospect 6.0^desktop mac upgrade,daZtz,59.99
141,exceed 2007 with 1yr mnt 1u,hummingbird communications,650.0
