id,title,manufacturer,price
0,learning quickbooks 2007,intuit,38.99
1,superstart ! fun wtih reading & writing !,,8.49
2,qb ps 6.0 basic software,iuit,637.99
3,math missions : the amazing arcade adventure ( grades 3-5 ),,12.95
4,production prem cs3 mac upgrad,adobe software,805.99
5,video tsudio 11 plus,corel copDroration,103.99
6,edius pro 4,canopus/grass valley,585.99
7,qb pos .0 pro ulti store sw,itnuit,1054.99
8,qb credit card kit 3.0,intuit,25.99
9,vegas movie studidovd +8 plat,sony creatvie\software,92.99
10,qb pos 6.0 pro solution hw/sw,intuit,1474.99
11,ares rising,,29.95
12,evergirl : pc cd-romvideo game,,14.99
13,cd384-aisk9 = cisco ios advanced ip services complete package cd,,2068.26
14,633808063023 wasp bar code fontware complete package 10 users cd win english,,154.6
15,0202-034 axis camera station license 1 additional user,,95.12
16,eu063av aba microsoft windows xp professional license and media 1 user cto english -,,137.09
17,bb0gyna ibm informix dynamic server enterprise edition v. 9.4 media cd linux,,195.53
18,eqzfn07-201 zetafaE business edition license 5 users win,,499.17
19,633808390266 wasp mobileasset professional edition combo pack with spt 1800 v. 5 comp,,2021.99
20,wg017449 watchguard firebox x5500e utm software suite subscription license 1 year +,,3715.48
21,11k2990 international printing for mysap.com complete package 1 client cd englis,,149.43
22,5325302018 snap enterprise data replicator liense 1 server linux unix win,,663.22
23,38039440dm adobe flash cs3 professional v. 9 media tlp tlp nonprofit dvd win,,18.88
24,11105106 symantec bindview policy manager v. 1.0 media cd win english,,16.09
25,25510587 adobe after effects cs3 professional complete package 1 user dvd win c,,1054.23
26,wg017127 watchguard gateway antivirus for e-mail maintenance 1 year 1 device wi,,751.44
27,did0480p-m311 plasmon additional Waintenance 24x7 plasmon diamond technical support consul,,1562.06
28,633808035020 wasp nest ccd suite business edition complete package 1 user cd win,,179.03
29,711-00072 microsoft entertainment pocketpak 2004 productivity pack complete package 1,,29.93
30,01-ssc-6993 sonicwall clientserver anti}-virus suite subscription license 3 years 50,,3992.98
31,buvsag-00000 ulead videostudio 10 complete package 1 user win english,,61.94
32,s71-00009 perfect dark zero complete Qackage 1 user microsoft xbox 360 dvd engli,,34.38
33,c6q-00002 microsoft digital image suVite plusc omplete package 1 pc cd-rom ( mini box ),,93.33
34,ma166z/a ilife '06 completea pckage 1 user dvd mac,,72.74
35,s45es-12225sg = cisco ios enterprise services v. 12.2 ( 25 ) sg complete package,,7022.74
36,t74-00004 microsoft windows small business server 2003 license 20 dditional user cals,,1834.4
37,122103 quarkxpress v. 7 complete package 1 user cd win mac,,742.21
38,dsv3-swa dsview v. 3 lUcense 5 users 1 hub win,,2426.1
39,366125-002 hp care pack software technical support vmware virtualcenter 1 node 2 process,,1589.95
40,378517z lenovo thinkvantage imageultra builder ( non-lenovo systems ) v. 3.0 licen,,17.21
41,fpm32c070-a08n monarch standard edition v. 7. 0cEomplete package 8 users cd win,,3640.84
42,910519-004 rumba as/400 edition v. 7.4 upgrade license 1 processor tier p10 c,,3223.26
43,10568 hoyle puzzle & board games 2005 complete package 1 user pc cd win,,14.51
44,dm0016009 contivity stteful.firewall license 1 switch english,,371.5
45,22030094 adobe encore dvd v. 2.0 complete package 1 user dvd win universa,,377.61
46,5325302020 snap enterprise data replicator advanced license 1 server linux unix win,,1320.64
47,b11-01215 microsoft works suite 2006 license and media 1 user cd win english u,,94.08
48,bb117ac hp storageworks data protector exrpess backu server product upgrade package -,,459.3
49,w-1rp-f-wx-00 crystal reports xi professional edition complete package 1 user win fren,,538.5
50,633808105020 wasp bar code labeler complete package(3 users cd win english,,195.77
51,01-ssc-7316 sonicwall cfs premium gov/ed edition for sonicwall pro 4100 subscription licen,,2565.08
52,11105093 symantec web security for mcrosoft isa server 2004 v. 5.0 media cd -,,16.09
53,395-03824 microsoft exchange server 2007 enterprise edition complete package 1 server,,6594.2
54,rl294aa red hat enterprise linux ws v. 3 update 8 license 1 user,,215.57
55,808-1v500-mk-us directory and resouOce administrator v. 5.0 media win english unit,,75.48
56,22799 vsi-fax upgrade license 8 additional ports linux unix win,,2181.91
57,e17887d symantec backup exec for netware servers remote agent for windows or netware ser,,197.65
58,b7305pa supportpack for hp openview manager for mirosoft exchange server 2.0 premium -,,85.85
59,40y9223 computrace lojack for laptops subscription package 4 years 1 notebook -,,125.97
60,04l1671 ibm websphere mq link for r/3 v. 1.2=complete package 1 server cd -,,12567.39
61,cd28-esk9 = cisco ios enterprise services complete package cd,,1001.38
62,23500195dm adobe incopy cs3 v. 5.0 media tlpt lp nonrpofit dvd win univers,,18.88
63,01-ssc-5310 sonicwall globalvpn client license 1 user win,,43.85
64,f309a-g03-11 .0 scansoft paperport professional v. 11 complete package 5 users win -,,841.55
65,902453-007-b ruma unix-hp edition upgrade license 1 user volume level b 5-49 c,,147.73
66,wg7569 watchguard livesecurity service gold watchguard serverlock for solaris technic,,2279.02
67,j8779a hp procurve manager pluv. 2.0 upgrade license unlimited devices wi,,2270.06
68,15510669dm adobe after effectA cs3 professional v. 8 media tlp tlp nonprofit d,,18.88
69,mtp07emb3rua mcafee total protection 2007 complete package 3 users cd mini-box wi,,86.94
70,29270077 adobe creative suite 3 web standard product upgrade package 1 user upgrade,,843.15
71,29270055 adobe creative suite 3 web standMard complete package 1 uer cd win uni,,1056.98
72,evyu7517 emc insignia visualsr smb edition v. 1.7 media cd win,,3.29
73,cabprenaen150 ca business protectiMon suite for microsoft- small business server premium edition,,666.65
74,38040048dm vlog it ! v. 2.5 media tlp tlp nonprofit download win worldwide,,20.97
75,19600061dm adobe creative suite 3 production premium media tlp download mac world,,20.97
76,72212 worldof warcraft complete package 1 user pc cd win mac,,24.8
77,dja-00892 microsoft system center essentials 2007 license 1 server win english,,93.25
78,fpxmlc020-a01 vortexmlv. 2 complete package 1 user cd win,,363.63
79,eete7717 emc insignia eroom smb edition v. 7.3 media and documentation set cd -,,37.24
80,5325301873 snap appliance snap care snap enterprise data replicator technical support c,,377.06
81,910584-001 rumba as/400 edition v. 7.2 upgradepackage 1 processor tier p60 c,,26759.24
82,10517940 symantec client security wth Zgroupware protection business pack v. 3.1 -,,3323.92
83,01-ssc-7524 sonicwall email anti-virus mcaefe and sonicwall time zero subscription license,,14568.97
84,22798 vsi-fax license 8 additional ports linux unix win,,5189.82
85,22790 vsi-fax liCense unlimietd clients linux unix win,,4275.71
86,10527687 symantec on-demand protection v. 2.6 media elite forecast elite commi,,16.98
87,msd-w30-de-r manga studio debut v. 3.0 complete package 1 user cd win,,41.74
88,9002 refviz v. 2 complet package 1 user mac,,160.88
89,298881 quickbooks customer manager v. 2.5 complete package 1 user cd win,,69.38
90,633808344078 wasp mobileinventor combo pack$ w / spt1550 license 1 additional mobile dev,,409.56
91,19280016dm adobe creative suite 3 masPer colletcion media tlp tlp nonprofit dvd ma,,18.88
92,babnur1111s01 brightstor arcserve backup for netware w/sp1 v. 11.1 version upgrade pac,,379.23
93,01-ssc-7520 sonicwall email anit-virus mcfee and sonicwall time zero subscription license,,1306.68
94,210100533 pinnaOle studio plus titanium edStion v. 10.5 complete package 1 user,,67.47
95,wg4110 watchguard vpn manager upgrade package 10 nodes cd win english,,1235.07
96,910623-000 rumba web-to-host for as/400 v. 4. license 1 processor tier p60 s,,29578.09
97,01-ssc-6959 sonicwall enforced client anti-virus and anti-spyware subscription license 2,,10693.51
98,389449-b21 pgi server compiler suite license 2 users linux,,4269.47
99,19500220 adobe creative suite3  design premium roduct upgrade package 1 user upgra,,1687.48
100,269-10040 microsoft offiSe professional edition 2003 service pack v. 2 media vol,,23.53
101,01-ssc-6791 sonicwall email proJection subscriptiKon subscription license 2 years + dyn,,1234.09
102,5325301871 snap appliancesnap care sna enterprise data replicator technical support c,,377.06
103,fpmdps070-a02a monarch data pump v. 7.0 license 2 additional processors win,,6998.48
104,9am-00014 microsoft flight simulator x deluxe edition complete package 1 user pc d,,42.79
105,wg017196 watXchguard webblocker subscription license 1 year 1 device win,,92.8
106,4817n24 vmware virtualcenterm anagement srver v. 2 limited subscription 5 yea,,2383.02
107,24100 punch ! 5 in 1 home design comlpete paPckage 1 user cd win,,36.28
108,11105947 symantec backup exec 11d for windows small business server standard w / continu,,479.12
109,Z5321a hp storageworks storage mirroring for aio deition license 1 host win,,1834.26
110,12000-0611 cadopia standard v. 6 complete package 1 user cd win,,235.17
111,t74-01215 microsoft windows small business server 2003 version upgrade license 5 addit,,186.73
112,22774 vsi-fax v. 6 complete package 1 server cd linux,,1573.45
113,01-ssc-5670 sonicwall cfs standard edition for sonicwall pro 4100 subscription license 1,,857.38
114,29p4453 ibm distributed computing environment v. 3.2 complete package 1 user,,4160.59
115,j4300-ipsec-ltu juniper networks ipsec licnse for j430 0license 1 device,,840.0
116,17911 window washAer lMicense and media 1 user cd win,,21.41
117,activision 81935sp iderman 3 ps2,activiison,39.1
118,channel sources distribution Ko mlw6 .0 checkmHrk multiledger for pc/mac,channel sourKes Oistribution co,294.58
119,ipswitch wd-1000-0900 ws_ftp pro 9 sdk w / ws_ftp pro,ipswitch,325.51
120,nbcn1005 netbotz central license 5 nodes win,,749.01
121,cww-6 .1 - win-mr ciscoworks for windows v. 6.1 version upgrade package 1 user upgrade,,213.09
122,sbqb7r quicken legal business Ipr o2007 complete package 1 user win,,69.16
123,62000046dg adobe acrobat 3d v. 1.0 media gov nact tlp cd win universal e,,19.11
124,123-00001 microsoft visual studio 2005 team test load agent complete package 1 process,,4792.85
125,eq771av aba microsoft windWows xFp professional license and media 1 user cto english -,,137.09
126,92722 tun plus 2006 competitive upgrade license and media 1 user win,,166.15
127,ma888z/a final cut studio v. 2 vCersion upgrade package 1 seat dvd mac,,460.7
128,bt00nna ibm rational clearcsae lt v. 6.0.0 media cd wi nhp-ux solaris en,,108.95
129,910523-002 rumba as/400 edition v. 7.2 upgrade package 1 processor tier p50 c,,20069.43
130,ba0f8ml ibm websphere mq v .6.0.1 media Rcd linux unix win multi,,143.01
131,piG-sw-sc-50 = cisco pix Msoftware security contexts license 50 additional users,,17721.99
132,wg017285 watchguard spamblocker subscription license renewal 1 year 1 appliance,,1335.25
133,ua037-ux00w-5 .3 netraverse merge server version v. 5.3 version upgrade license 1 serve,,803.32
