label,left_Beer_Name,left_Brew_Factory_Name,left_Style,left_ABV,right_Beer_Name,right_Brew_Factory_Name,right_Style,right_ABV,id
0,C N Red ImpOerial Red Ale,Redwood Lodge,American Amber / Red Ale,8.10 %,Kinetic Infrared ImperialRed Ale,Kinetic BrewTing CZompany,American Strong Ale,9.30 %,2082_1496
0,Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90 %,Kinetic Infrared ImperialRed Ale,Kinetic BrewTing CZompany,American Strong Ale,9.30 %,2433_1496
0,Arthur 's Imperial Red Ale,Otto 's Pub and Brewery,American Amber / Red Ale,6.90 %,Kinetic Infrared ImperialRed Ale,Kinetic BrewTing CZompany,American Strong Ale,9.30 %,1587_1496
0,Derange MrImperial Red Ale,Laurelwood Public_HZouse & Brewery,American Amber / Red Ale,8.60 %,Kinetic Infrared ImperialRed Ale,Kinetic BrewTing CZompany,American Strong Ale,9.30 %,1458_1496
0,Red Shedman 's Imperial Aber Ale,57 Brew Pub [ BFistro,American Amber / Red Ale,7.60 %,Kinetic Infrared ImperialRed Ale,Kinetic BrewTing CZompany,American Strong Ale,9.30 %,3402_1496
0,C N Red ImpOerial Red Ale,Redwood Lodge,American Amber / Red Ale,8.10 %,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,2082_1638
0,Double Dread ImperaLil Red Ale,Mad iver Brewing Company,American Amber / Red Ale,8.60 %,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,138_1638
0,West Sixth / Country Boy CountBy Western( Volume 3 Imperial Red Ale ),West Sixth BArewing Company,American Amber / Red Ale,13.00 %,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,491_1638
0,C N Red ImpOerial Red Ale,Redwood Lodge,American Amber / Red Ale,8.10 %,TumbleKown Imp Imperial Red Ale,Tumbledown BrJewing LLC,American Strong Ale,7.80 %,2082_1103
0,RounMabout Imperial Red Ale,BonfBYre Brewing Co. .,American Amber / Red Ale,8.80 %,TumbleKown Imp Imperial Red Ale,Tumbledown BrJewing LLC,American Strong Ale,7.80 %,3325_1103
0,Merry> Prankster Imprial Red Ale,Rock BoWttom Restaurant & Brewery,American Amber / Red Ale,4.56 %,TumbleKown Imp Imperial Red Ale,Tumbledown BrJewing LLC,American Strong Ale,7.80 %,2047_1103
0,Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90 %,TumbleKown Imp Imperial Red Ale,Tumbledown BrJewing LLC,American Strong Ale,7.80 %,2433_1103
