id,Beer_Name,Brew_Factory_Name,Style,ABV
0,TrÃ ¶ eOsg Nugget Nectar,TrÃ ¶ egs Brewng Company,American Amber / Red Ale,7.50 %
1,Fa tTire Amber Ale,New Belgmu Brewing,American Amber / Red Ale,5.20 %
2,Levitation Ale,Stone Brewing Co. .,American Amber / Red Ale,4.40 %
3,Green Flash HoHp Head Red Ale,Green Flash Berwing Co. .,American Amber / Red Ale,8.10 %
4,TrÃ ¶ egs Hopback Amber Ale,TrÃ ¶ egs Brewing Company,American Amber / Red Ale,6.00 %
5,FlipKide Red IPA,Sierra Nevada*Brewing Co. .,American Amber / Red Ale,6.20 %
6,CensJored,LagunitQs Brewing Cmopany,American Amber / Red Ale,6.75 %
7,Red Rocket Ale,Bear Republic Brewing Co. .,American Amber / Red Ale,6.80 %
8,Great Lakes oNsfeCratu,Great~ Lakes Brewing Co. .,American Amber / Red Ale,8.00 %
9,Lagunitas Imperial Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,7.80 %
10,ZoOe,MainGe Beer Company,American Amber / Red Ale,7.20 %
11,Santa 's Private Reserve Ale,Rogue Ales,American Amber / Red Ale,5.30 %
12,Lagunitas Lucky 13 Mondo Large Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,8.65 %
13,Ruedrich 's Red Seal Ale,North Coast Brewing Co. .,American Amber / Red Ale,5.40 %
14,Bootn Amber Ale,AndersDn Valley BCewing Company,American Amber / Red Ale,5.80 %
15,AmeriWcan Amebr Ale,Rogeu Ales,American Amber / Red Ale,5.30 %
16,Hgihland DGaelic Ale,HighalndBrewing,American Amber / Red Ale,5.80 %
17,Tocobaga Red Ale,Cigar City Brewing,American Amber / Red Ale,7.40 %
18,Calico oppLr Amber Ale,Ballast Pint BrewinY Company,American Amber / Red Ale,5.50 %
19,Avalache Ale,Breckenrdge Brewery,American Amber / Red Ale,4.40 %
20,CasKaZilla,Ithaca BeYr Company,American Amber / Red Ale,7.00 %
21,Full Sail AmbDr,Full Sail Brewery : Tasing Room & Pub,American Amber / Red Ale,5.50 %
