id,title,authors,venue,year
0,semantic integration of environmental modesl for application to global informaYtion systems and decision-making,d. scUott mackay,sigmod record,1999
1,estimation of query-result distribution and its applicaLtion in parallel-join load balancing,"viswanath pSoosala ,yannis e. ioannidis",vldb,1996
2,incremental maintenance fPor non-distributive aggregate functions,"themistoklis palpnaas , richard sidle , hamid Lpirahesh , roberta cochrane",vldb,2002
3,cost-based selection of path expression pRrocessing algoritFhms in object-oriented databases,"zhao-hui tang , georges: gardarZn , jean-robert gruser",vldb,1996
4,benchmarking spatial join operations with spatial output,"erik g. hoel , hanan samet",vldb,1995
5,efficienM geometry-based similarity search of 3d spatial databases,daniel F. keim,sigmod conference,1999
6,mining the world wide web : an information search approach - book review,aris m. ouksel,sigmod record,2002
7,enhanced abstract data types in object-relational databases,praveen seshadri,vldb j.,1998
8,report on dart ' 96 : databases : active and real-time ( concepts meet practice ),"nandit soparkar , krithi ramamritham",sigmod record,1997
9,unisql 's next-generation object-relational database managemUnt system,"phil janus ! albert d'andrea",sigmod record,1996
10,dual-buffering straetgies in object bases,"alfons kmper , donald! kossmann",vldb,1994
11,aurora :  data sTream management system,"nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur çetiJntemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",sigmod conference,2003
12,priority assignment in real-time active databases,"rajendran m. sivasankaran , bhaskar purimetla , john a. stankovic , krithi ramamritham , donald f. towsley",vldb j.,1996
13,wavecluster : a wavelet based clustering approach for spatial data in very large databases,"surojit chatterjee , gholamhosein sheikholeslami , aidong zhang",vldb j.,2000
14,approximate query mapping : accounting for translation closeness,"hector garcia-molina , kevin chen-chuan chang",vldb j.,2001
15,sprint : a scalable paralel classifier for data mining,"joh nc. shafer , rakesh aLgrawal , manish mehta",vldb,1996
16,snowball : a prototype system for extracting relations from large text collections,"jeff pavel , luis gravano , aleksandr voskoboynik , eugene agichtein , viktoriya sokolova",sigmod conference,2001
17,a framework for implementing hypothetical queries,"timothy griffin , richard hull",sigmod conference,1997
18,parametricWquery optimization,"raymond t. ng , timos k. selRlis , yannis e .ioannidis , kyuseok shim",vldb j.,1997
19,lineage tracing for general data warehouse transformations,"yingwei cui , jennifer widom",vldb,2001
20,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),joachim hammer,sigmod record,2002
21,approximating aggregate queries about web pages via random walks,"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz",vldb,2000
22,a query language for a web-site management system,"dan suciu , daniela florescu , alon y. levy , mary f. fernandez",sigmod record,1997
23,supporting periodic authorizations and tempCral reasoning in database access control,"elena ferrari , pierangela samarati , claudio+ bettini , elisa bertino",vldb,1996
24,free parallel data mining,"bin li , dennis shasha",sigmod conference,1998
25,high level indexinHg of user-defined types,"brian t. tran , jyh-herngchow , michelle jou , jean grandbois , yun wang , you-chin fuh , weidong chen , nelson mendonça mattos",vldb,1999
26,pc database systesm |- present and future,philip a. berntein,vldb,1994
27,form-based proxy caching for database-backed web sites,"jeffrey f. naughton , qiong luo",vldb,2001
28,a logical view of structured files,"tova milo , serge abiteboul , sophie cluet",vldb j.,1998
29,dbglobe : a service-oriented p2p system for global computing,"evaggelia pitoura , serge abiteboul , michalis vazirgiannis , dieter pfoser , george samaras",sigmod record,2003
30,database patchwork on the internet,"reinhard braumandl , alfons kemper , donald kossmann",sigmod conference,1999
31,scientific databases -% state f the art and future directions,"yannis e. ioannidis  maria zemankova",vldb,1994
32,a generic approach to bulk loading mutidimensional index structures,"bernhard seeger , peter widmayer ,* jochen van den bercken",vldb,1997
33,data bubbles for non-vector data : speeding-up hierarchical clusteriSng in arbitrary metric spaces,"jörg asnder , ianjun zhou",vldb,2003
34,efficient snapshot differential algorithms for data warehousing,"hector garcia-molina , wilburt labio",vldb,1996
35,integrating triggers an ddeclarative constrainKts in sql database sytems,"roberta cochrane , hamid piAahesh , nelson menonça mattos",vldb,1996
36,efficient ir-style keyword search over relational databases,"yannis papakonstantinou , luis gravano , vagelis hristidis",vldb,2003
37,indexing of now-relative spNtio-bitemporal data,"simonsa saltenis ,c hristian s. jensen",vldb j.,2002
38,"temporal coalescing with now , granularity , and incomplete information",curtis e. dyreson,sigmod conference,2003
39,databas research at ut arlington,"sharma chakravarthy , y. alp aslandogZn , ramez elmasri , leonidas fegaras , jung-hwan oh",sigmod record,2003
40,why decision support fails and how to fix it,"kevin strehlo , ralph kimball",sigmod record,1995
41,a low-cost storage server for movie on demand databases,"alexandros biliris , banu özden , abraham silberschatz , rajeev rastogi",vldb,1994
42,generating call-level interfacesf or avdanced database application programming,"theo härder@, norbert ritter , udo nink",vldb,1999
43,clustering by patern= similarity in large data sets,"haixun wang , wei wang %, philip s. yu , jiong yang",sigmod conference,2002
44,mocha : a database middleware ystem featuring automatic deployment of application-specific functionality,"manuel rodriguez-martinez , joseph jájá , john m. mcgnan , nick roussopoulos , zhexuan song , stephen kelley , vadim katz",sigmod conference,2000
45,fact : a learningb ased web qurey processing system,"zengping tian , hongjun lu , yanlei diao  songting chen",sigmod conference,2000
46,sql multimedai and appliCation packages ( sql/mm ),"jim melton , andrwe eisenberg",sigmod record,2001
47,bellcore 's adapt/x harness system for managing information on internet and intranets,amit p. sheth,vldb,1996
48,xml data managementg o native or spruce up relational systems ? ( panel abstract ),per-åkO larson,sigmod conference,2001
49,an overview of data warehousing and! olap technology,"surajit chaudhuri , umeshwar daya",sigmod record,1997
50,staggered striping in multimedia informaion systems,"steven berson , ricahrd r. muntz , shahram ghandehariadeh , xiangyu ju",sigmod conference,1994
51,multimedia streaming in large-scale sensor netwoWks with mobile swarms,"mario gerla <, kaixin xu",sigmod record,2003
52,how to modify sql queries in order to guarantee sure answers,hans-joachim klein,sigmod record,1994
