id,title,authors,venue,year
0,towards a cooperative transaction model - the cooperative activity model,"m rusinkiewicz , w klas , t tesch , j wфsch , p muth",vldb,1995
1,sql/xml is makng good progress,"a eisenber g,&j melton",sigmod record,2002
2,using formal methods to reasonabout semantics-based decompositoins of transactions,"p ammann , s jCaPodia , i ray",vldb,1995
3,editor 's notes,l liu,sigmod record,2002
4,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),,,2002
5,schema and database evolution in the o2 object database system,"f ferrandina , t meyer , r zicari , g ferran , j madec",vldb,1995
6,procedures in object-oriented querFy languages,"k subieta , y kambayashi , j lCszczylowski",vldb,1995
7,phoenix project : fault-tolerant applications,"r barga , d lomet",sigmod record,2002
8,mining the world wide web : an informationZs earch approach - book review,,,2002
9,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms,"f moser , a kraiss , w klas",vldb,1995
10,report on the Bnsf workshop on building an infrastrcuture for mobile and wireless systems,,,2002
11,retrieval of composite multimedia objects,"s chaudhuri , s ghandeharizadeh , c shahabi",vldb,1995
12,mpeg-7 and mltimedia dataUbase systems,h koXch,sigmod record,2002
13,the fittest survives : an adaptive approach to query optimization,"h lu , k tan , s dao",vldb,1995
14,reminiscenceS on influential papers,,,2002
15,type clsasification of semi-structured documents,"m tresch , n palmNr , a luniewski",vldb,1995
16,data mining : practical machine learning tools and techniques - book review,j geller,sigmod record,2002
17,managing intra-operator paralleliIm in paralleld atabase systems,"m meht  ,d dewitt",vldb,1995
18,advances in databases and information systems ( adbis ),"a caplinskas , j eder , o vasilecas",sigmod record,2002
19,mining generalized association rules,"r srikant , r agrawal",vldb,1995
20,sampling-based etsimation of the numberof distinct values of an attribute,"p haas , j naughton| , s seshadri , l stokes",vldb,1995
21,book reviw column,k bQrer,sigmod record,2002
22,processing object-oriented queries with invertible late bound functions,"s flodin , t risch",vldb,1995
23,databases and transaction processing : an application-oriented approach - book review,a kemper,sigmod record,2002
24,"the clustra telecom database : high availability , high throughput , and real-time response","s hvasshovd , и torbjјrnsen , s bratsberg , p holager",vldb,1995
25,conceptual modeling and specification generation for b2b business process based on ebxml,h kim,sigmod record,2002
26,neurorule : a connectionist approach to data mining,"h lu , r setiono , h liu",vldb,1995
27,a multi-agent system infrastructure for software compoQnen tmarket-place : an ontological perspective,"r erdur ,  odieknelli",sigmod record,2002
28,improving performance in replicated databases through relaxed coherency,"r gallersdіrfer , m nicola",vldb,1995
29,an active functionality ervice for e-business applications,"m cJlia, a buchmann",sigmod record,2002
30,contracting!in the days( of ebusiness,"w hќmmer ,P w lehner , h wedekind",sigmod record,2002
