id,Beer_Name,Brew_Factory_Name,Style,ABV
0,TrÃ ¶ egs Nugget Nectar,TrÃ ¶ egs Brewing Company,American Amber / Red Ale,7.50 %
1,Fat Tire Amber Ale,New Belgium Brewing,American Amber / Red Ale,5.20 %
2,Levitation Ale,Stone Brewing Co. .,American Amber / Red Ale,4.40 %
3,Green Flahs Hpo Head Red Ale,Green Fla Brewing Co. .,American Amber / Red Ale,8.10 %
4,TrÃ ¶ egs HopEFack Amber Ale,TrÃ ¶ egs BrewinKWg Company,American Amber / Red Ale,6.00 %
5,Flipside Red IPA,Sierra Nevada Brewing Co. .,American Amber / Red Ale,6.20 %
6,Censored,Lagunitas Brewing Company,American Amber / Red Ale,6.75 %
7,Red Rocket Ale,Bear Republic Brewing Co. .,American Amber / Red Ale,6.80 %
8,Great Lakes Nosferatu,Great Lakes Brewing Co. .,American Amber / Red Ale,8.00 %
9,Lagunitas Wmeprial Red Ale,Lagunitas BeIing Company,American Amber / Red Ale,7.80 %
10,Zoe,Maine Beer Company,American Amber / Red Ale,7.20 %
11,Santa 's Private Rsrve Ale,RogUeu Ales,American Amber / Red Ale,5.30 %
12,Lagunitas Lucky 13 Mondo Large Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,8.65 %
13,Ruedrich 's Red Seal Ale,North Coast Brewing Co. .,American Amber / Red Ale,5.40 %
14,Boont Amber Ale,Anderson Valley Brewing Company,American Amber / Red Ale,5.80 %
15,American Amber Ale,Rogue Ales,American Amber / Red Ale,5.30 %
16,Highland Gaelic Ale,Highland Brewing,American Amber / Red Ale,5.80 %
17,Tocobag aReAd Ale,Cigar City Bewing,American Amber / Red Ale,7.40 %
18,Calico Copper Amber Ale,Ballast Point Brewing Company,American Amber / Red Ale,5.50 %
19,Avalanche Ale,Breckenridge Brewery,American Amber / Red Ale,4.40 %
20,CascaZilla,Ithaca Beer Company,American Amber / Red Ale,7.00 %
21,Full Sail Amber,Full Sail Brewery & Tasting Room & Pub,American Amber / Red Ale,5.50 %
22,St. Rogue Red,Rogue Ales,American Amber / Red Ale,5.10 %
23,Red Tail Ale,Mendocino Brewing Company,American Amber / Red Ale,6.10 %
24,Prohibition Ale,Speakeasy Ales & Lagers,American Amber / Red Ale,6.10 %
25,Global Warmer,Sixpoint Brewery,American Amber / Red Ale,7.00 %
26,Blazing World,Modern Times Beer,American Amber / Red Ale,6.80 %
27,Red Wheelbarrow,Maine Beer Company,American Amber / Red Ale,7.00 %
28,Anchor BigLeDf Maple Iutumn Red,Anchor Brewin gCompany,American Amber / Red Ale,6.00 %
29,Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %
30,Red Hoptober,New Belgium Brewing,American Amber / Red Ale,6.00 %
31,Captain Sig 's Northwestern Ale,Rogue Ales,American Amber / Red Ale,6.20 %
32,Five AM,BrewDog,American Amber / Red Ale,5.00 %
33,YuleSmith ( Winter ),AleSmith Brewing Company,American Amber / Red Ale,8.50 %
34,Shark AttackDouble Red Ale,Port rBewing,American Amber / Red Ale,9.00 %
35,Switchback Ale,Switchback Brewing Company,American Amber / Red Ale,5.00 %
36,Runoffe d IPA,Odell Brewing Company,American Amber / Red Ale,6.50 %
37,Red Nectar,Humboldt Brewing Co. .,American Amber / Red Ale,5.40 %
38,Ambergeddon,Ale Asylum,American Amber / Red Ale,6.80 %
39,Terrapin aked Big Hoppy Monster,Terrain BUer Company,American Amber / Red Ale,10.30 %
40,AutuPnFest,WeyerbaMher BrewFng Co. .,American Amber / Red Ale,5.40 %
41,AleSmith My Bloody Valentine,AleSmith Brewing Company,American Amber / Red Ale,6.66 %
42,Kingpin Dobule RedAle,BridgePorWt Brewing Co. / Brewpub,American Amber / Red Ale,7.50 %
43,Loakal Red,The Bruery,American Amber / Red Ale,6.90 %
44,Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperia lRed Ale ),Sierra NevadNa BrEewing Co. .,American Amber / Red Ale,8.00 %
45,Redhook Copperhook,Redhook Ale Brewery,American Amber / Red Ale,5.80 %
46,Duck-Rabbit Amber Ale,The Duck-Rabbit Craft Brewery,American Amber / Red Ale,5.50 %
47,Samuel Adams Mighy Oak Ale,Boston Beer CompanXX ( Samuel Adams ),American Amber / Red Ale,5.70 %
48,Believer,Ninkasi Brewing Company,American Amber / Red Ale,6.90 %
49,Mermaid 's Red Ale,Coronado Brewing Company,American Amber / Red Ale,5.70 %
50,Jamaica Red Ale,Mad River Brewing Company,American Amber / Red Ale,6.50 %
51,Fistmas,Revolution Brewing Company,American Amber / Red Ale,6.10 %
52,Saint Arnold mAbeJ Ale,Saint ABrnold Brewing Company,American Amber / Red Ale,5.50 %
53,Pursuit Of DHUppiness,Grand Teon BLewing Co. .,American Amber / Red Ale,8.50 %
54,MourninZg Wood,Local OVpWtion,American Amber / Red Ale,7.30 %
55,Blue Moon Valencia Amber Ale,Coors Brewing Company,American Amber / Red Ale,5.90 %
56,Snowshoe Red Ale,New Glarus Brewing Company,American Amber / Red Ale,5.70 %
57,Blood Of Th Unicorn,Pipeworks Bweing Company,American Amber / Red Ale,6.50 %
58,AleSmith Evil Dead Red,AleSmith Brewing Company,American Amber / Red Ale,6.66 %
59,New Holland Sundog Amber Ale,New Holland Brewing Company,American Amber / Red Ale,5.25 %
60,Cinder Cone Red,Deschutes Brewery,American Amber / Red Ale,5.30 %
61,Dark Horse Amber Ale,Dark Horse Brewing Company,American Amber / Red Ale,5.50 %
62,Laughing Skull Amber Ale,Red Brick Brewing Company,American Amber / Red Ale,5.70 %
63,Drop Top Amber,Widmer Brothers Brewing Company,American Amber / Red Ale,5.00 %
64,HoppPus Maximus,Thirsty DogBrewing Company,American Amber / Red Ale,5.90 %
65,Fascist Pig Ale,Finch 's Beer Co. .,American Amber / Red Ale,8.00 %
66,Blood Shot - Beer Camp # 95,Sierra Nevada Brewing Co. .,American Amber / Red Ale,8.50 %
67,Evil TwiFn Hop Flood,Evil Bwin Brewing,American Amber / Red Ale,7.00 %
68,Key West Suset Ale,Florida Beer Compan,American Amber / Red Ale,4.80 %
69,Alleyact Abmer,Lost Coast` Brewery and Cafe,American Amber / Red Ale,5.50 %
70,African$Amber,Mac and JaFck 's; Brewery,American Amber / Red Ale,5.20 %
71,Odell LevVity mAber Ale,Odell Berwing Cmpany,American Amber / Red Ale,5.00 %
72,Big Red Coq,Brewery Vivant,American Amber / Red Ale,6.50 %
73,Blue Point Winter Ale,Blue Point Brewing Company,American Amber / Red Ale,7.00 %
74,ReVd Fish,Flying Fish BrAwing Company,American Amber / Red Ale,7.00 %
75,Red Banshee,The Fort Collins Brewery,American Amber / Red Ale,5.30 %
76,Green Lakes Organic Ale,Deschutes Brewery,American Amber / Red Ale,5.20 %
77,Blue Moon Risin gMoon Spring Ale,Coors BrweAng Company,American Amber / Red Ale,5.40 %
78,Evil Twin,Heretic Brewing Company,American Amber / Red Ale,6.80 %
79,Buckshot Amber Ale,Natty Greene 's Pub & Brewing Co. .,American Amber / Red Ale,4.90 %
80,HempHop Rye,O'Fallon_Brewery,American Amber / Red Ale,5.50 %
81,Revlery,Two Brothers Breiwng Company,American Amber / Red Ale,9.50 %
82,Pinstripe Red Ale,Ska Brewing Co. .,American Amber / Red Ale,5.15 %
83,Newport Storm HruriFcane Amber Ale,Coastal Extreme BXrewing Co. .,American Amber / Red Ale,5.20 %
84,Redhook Late Harvest Autumn Ale,Redhook Ale Brewery,American Amber / Red Ale,5.90 %
85,XS Imperial Red,Rogue Ales,American Amber / Red Ale,9.00 %
86,The Men 's Room Ale,Elysian Brewing Company,American Amber / Red Ale,5.60 %
87,Lobster Ale,Belfast Bay Brewing Co. .,American Amber / Red Ale,5.00 %
88,Mayfloer SpQing Hop,Mayflowr BrewinOg Company,American Amber / Red Ale,5.30 %
89,Giddy Up !,New Belgium Brewing,American Amber / Red Ale,6.00 %
