_id,ltable_id,rtable_id,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,gold_label
13417,2942,685,Thinking About You ( feat . Ayah Marar ),Calvin Harris,18 Months,"Dance , Music , House , Rock , Electronic",$ 1.29,2012 Sony Music Entertainment UK under exclusive license to Ultra Music / Roc Nation / Columbia Records,4:07,30-Oct-12,Thinking About You,Calvin Harris,18 Months [ Explicit ],Dance & Electronic,$ 1.29,( C ) 1995 Mercury Records Limited,4:07,"October 30 , 2012",1
28310,2342,1226,Because of Your Love,Kenny Chesney,Greatest Hits,"Country , Music , Contemporary Country , Urban Cowboy",$ 0.99,2000 BMG Entertainment,4:16,26-Sep-00,Last Few Threads Of Love,Kenny Rogers,49 All Time Greatest Hits,"Country , Traditional Country , Cowboy",$ 0.89,( c ) 2008 Goldenlane Records,2:23,"August 1 , 2008",1
114435,2468,3581,The Tin Man,Kenny Chesney,All I Need to Know,"Country , Music , Urban Cowboy , Contemporary Country",$ 0.99,"1995 , BMG Entertainment",3:25,13-Jun-95,The Tin Man,Kenny Chesney,All I Need To Know,Country,$ 0.99,2014 Scotty 2 Music Ascap,3:26,"June 13 , 1995",1
115542,2441,3591,O Little Town of Bethlehem,Kenny Chesney,All I Want for Christmas Is a Real Good Tan,"Holiday , Music , Country , Honky Tonk , Contemporary Country , Christmas",$ 0.99,2003 BMG Music,4:18,4-Oct-03,The Angel At The Top Of My Tree,Kenny Chesney,All I Want For Christmas Is A Real Good Tan,"Holiday , Christmas , Miscellaneous",$ 0.99,2009 Brielle Banning,3:26,"October 4 , 2003",0
115547,2459,3591,O Little Town of Bethlehem,Kenny Chesney,All I Want for Christmas Is a Real Good Tan,"Holiday , Music , Country , Honky Tonk , Contemporary Country , Christmas",$ 0.99,2003 BMG Music,4:18,4-Oct-03,The Angel At The Top Of My Tree,Kenny Chesney,All I Want For Christmas Is A Real Good Tan,"Holiday , Christmas , Miscellaneous",$ 0.99,2009 Brielle Banning,3:26,"October 4 , 2003",0
128207,5733,4481,Bumpin ' the Night,Florida Georgia Line,Anything Goes,"Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",$ 1.29,"‰ ãÑ 2014 Big Machine Label Group , LLC",3:42,14-Oct-14,Every Night,Florida Georgia Line,Anything Goes,Country,$ 1.29,"( C ) 2014 Republic Records , a Division of UMG Recordings , Inc. ( Republic Nashville )",3:06,"October 14 , 2014",0
245365,5623,6533,Thnks fr th Mmrs,Fall Out Boy,Believers Never Die - Greatest Hits ( Bonus Track Version ),"Alternative , Music , Rock , Adult Alternative , Punk",$ 1.29,‰ ãÑ 2009 The Island Def Jam Music Group,3:28,17-Nov-09,Thnks fr th Mmrs,Fall Out Boy,Believers Never Die - Greatest Hits,Alternative Rock,$ 1.29,( C ) 2009 The Island Def Jam Music Group,3:28,"November 16 , 2009",1
245542,5632,6535,"A Little Less Sixteen Candles , A Little More `` Touch Me ''",Fall Out Boy,Believers Never Die - Greatest Hits ( Deluxe Edition ),"Alternative , Music , Punk , Rock , Adult Alternative",$ 1.29,‰ ãÑ 2009 The Island Def Jam Music Group,2:50,17-Nov-09,I 'm Like A Lawyer With The Way I 'm Always Trying To Get You Off ( Me & You ),Fall Out Boy,Believers Never Die - Greatest Hits,Alternative Rock,$ 1.29,( C ) 2009 The Island Def Jam Music Group,3:35,"November 16 , 2009",0
245616,5622,6536,"This Ai n't a Scene , It 's an Arms Race",Fall Out Boy,Believers Never Die - Greatest Hits ( Bonus Track Version ),"Alternative , Music , Rock , Adult Alternative , Punk",$ 1.29,‰ ãÑ 2009 The Island Def Jam Music Group,3:33,17-Nov-09,Beat It [ feat . John Mayer ],Fall Out Boy,Believers Never Die - Greatest Hits,Alternative Rock,$ 1.29,( C ) 2009 The Island Def Jam Music Group,3:49,"November 16 , 2009",0
299513,3373,7348,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,House In The Hills ( feat . Curren $ y ) [ Explicit ],Wiz Khalifa,Blacc Hollywood ( Deluxe ) [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:52,"August 19 , 2014",0
299845,3367,7354,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , East Coast Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ],Wiz Khalifa,Blacc Hollywood ( Deluxe ) [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:16,"August 19 , 2014",0
