label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,id
0,web caching for database applicatFions with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie hzong , xiang liu",sigmod conference,2002.0,form-based proxy caching for database-backed web sites very large data bases,"qiong luo , jeffrey f. naughton",,2001.0,1756_1418
0,"enabling dynamic content caching for database-driven web sites qiong luo , divyakant agrawal , wen-syan li , wang-pin hsiung , k. selçuk candan 2001",,sigmod conference,,form-based proxy caching for database-backed web sites very large data bases,"qiong luo , jeffrey f. naughton",,2001.0,2464_1418
0,homer : a model-based case tool for data-intensive web sites sigmod conference 2000,"paolo atzeni , paolo merialdo , marco pecorone , marco magnante , giansalvatore mecca",,,form-based proxy caching for database-backed web sites very large data bases,"qiong luo , jeffrey f. naughton",,2001.0,648_1418
0,"a predicate-based caching scheme for client-server database architectures julie basu , arthur m. keller",,vldb j.,1996.0,form-based proxy caching for database-backed web sites very large data bases,"qiong luo , jeffrey f. naughton",,2001.0,2410_1418
1,form-based proxy caching for database-backed web sites,"jeffrey f. naughton , qiong luo",vldb,2001.0,form-based proxy caching for database-backed web sites very large data bases,"qiong luo , jeffrey f. naughton",,2001.0,27_1418
0,"caching strategies for data-intensive web sites khaled yagoub , patrick valduriez , valérie issarny , daniela florescu vldb 2000",,,,form-based proxy caching for database-backed web sites very large data bases,"qiong luo , jeffrey f. naughton",,2001.0,2058_1418
0,web caching for database applicatFions with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie hzong , xiang liu",sigmod conference,2002.0,"middle-tier database caching for e-business qiong luo , sailesh krishnamuTrthy , c. mohn , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",,international conference on management of data,2002.0,1756_723
0,form-based proxy caching for database-backed web sites,"jeffrey f. naughton , qiong luo",vldb,2001.0,"middle-tier database caching for e-business qiong luo , sailesh krishnamuTrthy , c. mohn , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",,international conference on management of data,2002.0,27_723
0,dbcache : database caching for web application servers 2002,"sailesh krishnamurthy , c. mohan , larry brown , hamid pirahesh , mehmet altinel , honguk woo , qiong luo , bruce g. lindsay",sigmod conference,,"middle-tier database caching for e-business qiong luo , sailesh krishnamuTrthy , c. mohn , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",,international conference on management of data,2002.0,786_723
1,"middle-tier database caching for e-business hamid pirahesh , c. mohan , jeffrey f. naughton , sailesh krishnamurthy , honguk woo , qiong luo , bruce g. lindsay",,sigmod conference,2002.0,"middle-tier database caching for e-business qiong luo , sailesh krishnamuTrthy , c. mohn , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",,international conference on management of data,2002.0,2206_723
